experiment	harvest_year	treatment	start_date	end_date	type	operations
W/RN/3	1972	potatoes arable rotation	09-Sep-71		diary record	paraquat applied at 0.56 kg ion in 280 l
W/RN/3	1972	potatoes arable rotation	14-Oct-71		diary record	ploughed
W/RN/3	1972	potatoes arable rotation	04-Nov-71		diary record	Deep-tine cultivated
W/RN/3	1972	potatoes arable rotation	15-Dec-71		diary record	dichloropicolinic applied
W/RN/3	1972	potatoes arable rotation	29-Feb-72		diary record	ploughed
W/RN/3	1972	potatoes arable rotation	24-Mar-72		diary record	NPK applied
W/RN/3	1972	potatoes arable rotation	29-Mar-72		diary record	"aldicarb applied, all plots rotary cultivated twice, potatoes planted"
W/RN/3	1972	potatoes arable rotation	06-May-72		diary record	sprayed with linuron at l.1 kg plus paraquat at 0.42 kg ion in 370 l
W/RN/3	1972	potatoes arable rotation	05-Jul-72		diary record	sprayed with mancozeb at l.3 kg in 430 l
W/RN/3	1972	potatoes arable rotation	27-Jul-72		diary record	sprayed with mancozeb at l.3 kg plus demeton-s-methyl at 0.25 kg in 430 l
W/RN/3	1972	potatoes arable rotation	14-Sep-72		diary record	Haulm mechanically destroyed
W/RN/3	1972	potatoes arable rotation	20-Sep-72		diary record	lifted
W/RN/3	1972	barley second treatment crop	15-Sep-71		diary record	Deep-tine cultivated twice
W/RN/3	1972	barley second treatment crop	03-Nov-71		diary record	Deep-tine cultivated twice
W/RN/3	1972	barley second treatment crop	15-Mar-72		diary record	seed combine drilled
W/RN/3	1972	barley second treatment crop	15-Mar-72		diary record	NPK (15:15:15) at 415 kg
W/RN/3	1972	barley second treatment crop	26-Apr-72		diary record	seed hay undersown (AH plots)
W/RN/3	1972	barley second treatment crop	08-May-72		diary record	"sprayed with bromoxynil, ioxynil, dichlorprop and MCPA ('Tetroxone' at 5.6 l in 280 l)"
W/RN/3	1972	barley second treatment crop	18-Aug-72		diary record	combine harvested
W/RN/3	1972	barley third treatment crop	30-Sep-71		diary record	ploughed
W/RN/3	1972	barley third treatment crop	15-Mar-72		diary record	seed combine drilled
W/RN/3	1972	barley third treatment crop	15-Mar-72		diary record	NPK (15:15:15) at 415 kg
W/RN/3	1972	barley third treatment crop	02-Jun-72		diary record	sprayed with ioxynil at 0.52 kg plus mecoprop at l.6 kg in 260 l
W/RN/3	1972	barley third treatment crop	18-Aug-72		diary record	combine harvested
W/RN/3	1972	seeds hay arable rotation	22-Apr-71		diary record	seed undersown in rye
W/RN/3	1972	seeds hay arable rotation	09-Mar-72		diary record	"N, P and K applied"
W/RN/3	1972	seeds hay arable rotation	07-Jun-72		diary record	cut twice
W/RN/3	1972	seeds hay arable rotation	16-Aug-72		diary record	cut twice
W/RN/3	1972	seeds hay arable rotation	19-Jun-72		diary record	NK applied
W/RN/3	1972	potatoes first test crop	03-Nov-71		diary record	Mrst half corrective K applied
W/RN/3	1972	potatoes first test crop	04-Nov-71		diary record	ploughed
W/RN/3	1972	potatoes first test crop	29-Nov-71		diary record	second half corrective K applied
W/RN/3	1972	potatoes first test crop	15-Dec-71		diary record	dichloropicolinic applied
W/RN/3	1972	potatoes first test crop	29-Feb-72		diary record	ploughed
W/RN/3	1972	potatoes first test crop	24-Mar-72		diary record	NPK applied
W/RN/3	1972	potatoes first test crop	29-Mar-72		diary record	"Aldicarb applied, all plots rotary cultivated. potatoes planted"
W/RN/3	1972	potatoes first test crop	06-May-72		diary record	sprayed with linuron at l.1 kg plus peragvat at 0.42 kg ion in 370 l
W/RN/3	1972	potatoes first test crop	05-Jul-72		diary record	spread with mancozeb at l.3 kg in 430 l
W/RN/3	1972	potatoes first test crop	27-Jul-72		diary record	sprayed with mancozeb at l.3 kg plus demeton-s-methyl at 0.25 kg in 430 l
W/RN/3	1972	potatoes first test crop	14-Sep-72	16-Sep-72	diary record	Haulm mechanically destroyed
W/RN/3	1972	potatoes first test crop	20-Sep-72		diary record	lifted
W/RN/3	1972	wheat second test crop	06-Oct-71		diary record	"Magnesian limestone applied at 5 tines, deep-tine cultivated"
W/RN/3	1972	wheat second test crop	l1-Oct-1971		diary record	Deep-tine cultivated
W/RN/3	1972	wheat second test crop	22-Oct-71		diary record	seed combine drilled
W/RN/3	1972	wheat second test crop	22-Oct-71		diary record	PK (0:20:20) at 290 kg
W/RN/3	1972	wheat second test crop	15-Apr-72		diary record	applied
W/RN/3	1972	wheat second test crop	27-Apr-72		diary record	"sprayed with 2,4-D at 0.7 kg plus dichlorprop at 2.8 kg in 280 l"
W/RN/3	1972	wheat second test crop	30-Aug-72		diary record	combine harvested
W/RN/3	1973	ley first year	11-Sep-72		diary record	Deep-tine cultivated twice
W/RN/3	1973	ley first year	18-Sep-72		diary record	Deep-tine cultivated twice
W/RN/3	1973	ley first year	02-Feb-73		diary record	ploughed
W/RN/3	1973	ley first year	07-Feb-73		diary record	Chloropicrtn applied in error to plots in alternating rotation
W/RN/3	1973	ley first year	20-Mar-73		diary record	"N, P and K applied, nitrogen at 50 kg as 'Nitro-chalk, P205 at 190 kg as superphospaate, K20 at 130 kg as muriate of potash in the seedbed, seed sown"
W/RN/3	1973	ley first year	31-Mar-73		diary record	weedkiller applied menazon with 2.4-DB and MCPA ('Legumex extra' at 7.0 l in 280 l)
W/RN/3	1973	ley first year	19-Jun-73		diary record	NK applied (25:93:16) at 360 kg divided between two equal applications
W/RN/3	1973	ley first year	02-Aug-73		diary record	cut one
W/RN/3	1973	ley first year	16-Aug-73		diary record	NK applied (25:93:16) at 360 kg divided between two equal applications
W/RN/3	1973	ley second year	09-Mar-73		diary record	NK applied (25:0:16) at 540 kg in three equal applications
W/RN/3	1973	ley second year	02-Jul-73		diary record	NK applied (25:0:16) at 540 kg in three equal applications
W/RN/3	1973	ley second year	16-Aug-73		diary record	NK applied (25:0:16) at 540 kg in three equal applications
W/RN/3	1973	ley second year	23-Jun-73		diary record	cut twice
W/RN/3	1973	ley second year	13-Aug-73		diary record	cut twice
W/RN/3	1973	ley third year	09-Mar-73		diary record	NK applied (25:0:16) at 540 kg in three equal applications
W/RN/3	1973	ley third year	18-Jun-73		diary record	NK applied (25:0:16) at 540 kg in three equal applications
W/RN/3	1973	ley third year	16-Aug-73		diary record	NK applied (25:0:16) at 540 kg in three equal applications
W/RN/3	1973	ley third year	12-Jun-73		diary record	cut three times
W/RN/3	1973	ley third year	02-Aug-73		diary record	cut three times
W/RN/3	1973	ley third year	05-Nov-73		diary record	cut three times
W/RN/3	1973	clover first year	11-Sep-72		diary record	Deep-tine cultivated twice
W/RN/3	1973	clover first year	18-Sep-72		diary record	Deep-tine cultivated twice
W/RN/3	1973	clover first year	02-Feb-73		diary record	ploughed
W/RN/3	1973	clover first year	07-Feb-73		diary record	dichloropicolinic applied in error to plots in alternsting rotation
W/RN/3	1973	clover first year	20-Mar-73		diary record	"N, P and K applied, nitrogen at 60 kg as 'Nitro-chalk, P205 at 190 kg as superphosphate, K20 at 130 kg as muriate of potash. Rolled, seed sown"
W/RN/3	1973	clover first year	31-May-73		diary record	weedkiller applied menazon with 2.4-DB and MCPA ('Legumex extra' at 7.0 1 in 280 1)
W/RN/3	1973	clover first year	02-Aug-73		diary record	cut
W/RN/3	1973	clover second year	09-Mar-73		diary record	N applied nitrogen at 60 kg as 'Nitro-chalk
W/RN/3	1973	clover second year	15-Mar-73		diary record	K applied K20 at 190 kg as muriate of potash
W/RN/3	1973	clover second year	23-Jun-73		diary record	cut times
W/RN/3	1973	clover second year	13-Aug-73		diary record	cut times
W/RN/3	1973	clover third year	09-Mar-73		diary record	"NK applied nitrogen at 60 kg as 'Nitro-chalk, K20 at 190 kg as muriate of potash "
W/RN/3	1973	clover third year	12-Jun-73		diary record	cut twice
W/RN/3	1973	clover third year	02-Aug-73		diary record	cut twice
W/RN/3	1973	potatoes first treatment crop	11-Sep-73		diary record	Deep-tine cultivated
W/RN/3	1973	potatoes first treatment crop	18-Sep-73		diary record	Deep-tine cultivated twice
W/RN/3	1973	potatoes first treatment crop	02-Feb-73		diary record	ploughed
W/RN/3	1973	potatoes first treatment crop	07-Feb-73		diary record	dichloropicolinic applied to continuous arable with hay plots
W/RN/3	1973	potatoes first treatment crop	08-Mar-73		diary record	"dichloropicolinic applied to plots in alternating rotation, previous omitted in error"
W/RN/3	1973	potatoes first treatment crop	09-Apr-73		diary record	"NPK applied, (13:13:20) at 1940 kg. rotary cultivated "
W/RN/3	1973	potatoes first treatment crop	16-Apr-73		diary record	diary applied
W/RN/3	1973	potatoes first treatment crop	17-Apr-73		diary record	"rotary cultivated, potatoes planted"
W/RN/3	1973	potatoes first treatment crop	12-May-73		diary record	weedkiller aplied Linuron at 1.7 kg in 280 l. 
W/RN/3	1973	potatoes first treatment crop	01-Jun-73		diary record	grubbed
W/RN/3	1973	potatoes first treatment crop	04-Jun-73		diary record	rotary ridged
W/RN/3	1973	potatoes first treatment crop	05-Jul-73		diary record	Fungicide with insecticide applied mancozeb at 1.3 kg plus demeton-s-methyl at 0.25 kg in 390 l.
W/RN/3	1973	potatoes first treatment crop	26-Jul-73		diary record	Fungicide applied mancozeb at 1.3 kg in 370 l 
W/RN/3	1973	potatoes first treatment crop	13-Aug-73		diary record	Fungicide applied mancozeb at 1.3 kg in 370 l 
W/RN/3	1973	potatoes first treatment crop	24-Sep-73		diary record	sprayed with undiluted BOV at 220 l
W/RN/3	1973	potatoes first treatment crop	03-Oct-73		diary record	lifted
W/RN/3	1973	barley second treatment crop	28-Sep-72		diary record	Deep-tine cultivated
W/RN/3	1973	barley second treatment crop	09-Mar-73		diary record	spring-tine cultivated with crumbler
W/RN/3	1973	barley second treatment crop	12-Mar-73		diary record	seed sown. (15:15:15) at 410 kg.
W/RN/3	1973	barley second treatment crop	15-Mar-73		diary record	seed hay undersown (AH plots)
W/RN/3	1973	barley second treatment crop	11-May-73		diary record	weedkiller applied to plots not undersown. Ioxynil at 0.52 kg plus mecoprop at l.6 kg in 280 l
W/RN/3	1973	barley second treatment crop	13-Aug-73		diary record	combine harvested
W/RN/3	1973	barley third treatment crop	25-Sep-72		diary record	Deep-tine cultivated
W/RN/3	1973	barley third treatment crop	29-Dec-72		diary record	ploughed
W/RN/3	1973	barley third treatment crop	09-Mar-72		diary record	spring-tine cultivated with crumbler
W/RN/3	1973	barley third treatment crop	12-Mar-73		diary record	seed sown (15:15:15) at 410 kg.
W/RN/3	1973	barley third treatment crop	11-May-73		diary record	weedkiller applied Ioxynil at 0.52 kg plus mecoprop at l.6 kg in 280 l 
W/RN/3	1973	barley third treatment crop	13-Aug-73		diary record	combine harvested
W/RN/3	1973	seeds hay arable rotation	26-Apr-72		diary record	seed undersown in barley
W/RN/3	1973	seeds hay arable rotation	09-Mar-73		diary record	"N, P and K applied nitrogen at 130 kg as 'Nitro-chalk' plus (0:14:28) at 540 kg"
W/RN/3	1973	seeds hay arable rotation	12-Jun-73		diary record	cut twice
W/RN/3	1973	seeds hay arable rotation	02-Aug-73		diary record	cut twice
W/RN/3	1973	seeds hay arable rotation	19-Jun-73		diary record	NK applied (25:0:16) at 270 kg
W/RN/3	1973	potatoes first test crop	20-Sep-72		diary record	ploughed
W/RN/3	1973	potatoes first test crop	06-Oct-72		diary record	first half corrective K applied
W/RN/3	1973	potatoes first test crop	01-Feb-73		diary record	second half corrective K applied
W/RN/3	1973	potatoes first test crop	07-Feb-73		diary record	dichloropicolinic applied
W/RN/3	1973	potatoes first test crop	26-Mar-73		diary record	NPK applied (13:13:20) at 1940 kg.
W/RN/3	1973	potatoes first test crop	05-Apr-73		diary record	Deep-tine cultivated
W/RN/3	1973	potatoes first test crop	09-Apr-73		diary record	"discard applied, all plots rotary cultivated, potatoes planted"
W/RN/3	1973	potatoes first test crop	12-May-73		diary record	weedkiller applied
W/RN/3	1973	potatoes first test crop	01-Jun-73		diary record	grubbed
W/RN/3	1973	potatoes first test crop	04-Jun-73		diary record	rotary ridged
W/RN/3	1973	potatoes first test crop	05-Jul-73		diary record	Fungicide with insecticide applied mancozeb at 1.3 kg plus demeton-s-methyl at 0.25 kg in 390 l.
W/RN/3	1973	potatoes first test crop	26-Jul-73		diary record	Fungicide applied mancozeb at 1.3 kg in 370 l 
W/RN/3	1973	potatoes first test crop	13-Aug-73		diary record	Fungicide applied mancozeb at 1.3 kg in 370 l 
W/RN/3	1973	potatoes first test crop	19-Sep-73		diary record	Haulm mechanically destroyed
W/RN/3	1973	potatoes first test crop	24-Sep-73		diary record	sprayed with undiluted BOV at 220 l
W/RN/3	1973	potatoes first test crop	02-Oct-73		diary record	lifted
W/RN/3	1973	wheat second test crop	30-Sep-72		diary record	Deep-tine cultivated
W/RN/3	1973	wheat second test crop	07-Oct-72		diary record	Magnesian limestone applied at 5 tonnes
W/RN/3	1973	wheat second test crop	20-Oct-72		diary record	seed sown. (0:20:20) at 300 kg
W/RN/3	1973	wheat second test crop	17-Nov-72		diary record	paraquat applied at 0.56 kg ion in 280 l
W/RN/3	1973	wheat second test crop	24-Nov-72		diary record	seed re-sown because varieties mixed at first owing
W/RN/3	1973	wheat second test crop	16-Apr-73		diary record	N applied
W/RN/3	1973	wheat second test crop	11-May-73		diary record	ioxynil and mecoprop applied ioxynil at 0.52 kg plus mecoprop at 1.58 kg in 280 l
W/RN/3	1973	wheat second test crop	24-Aug-73		diary record	combine harvested
W/RN/3	1974	ley first year	19-Oct-73		diary record	subsoiled: tines 140 cm apart and 50 cm deep
W/RN/3	1974	ley first year	12-Nov-73		diary record	ploughed
W/RN/3	1974	ley first year	14-Nov-73		diary record	disced
W/RN/3	1974	ley first year	03-Apr-74		diary record	power harrowed
W/RN/3	1974	ley first year	05-Apr-74		diary record	"power harrowed, rolled, N, P and K applied, N at 50 kg, as 'Nitro-chalk, P205 at 190 kg as superphosphate, K20 at 130 kg as muriate of potash in the seedbed. Seed sown"
W/RN/3	1974	ley first year	08-Apr-74		diary record	rolled
W/RN/3	1974	ley first year	26-May-74		diary record	weedkiller applied menazon with 2.4-DB and MCPA ('Legumex extra' at 7.0 1 in 280 1)
W/RN/3	1974	ley first year	08-Aug-74		diary record	cut twice
W/RN/3	1974	ley first year	16-Sep-74		diary record	cut twice
W/RN/3	1974	ley first year	19-Aug-74		diary record	NK applied (25:06:16) at 360 kg
W/RN/3	1974	ley second and third years	06-Mar-74		diary record	NK applied (25:02:16) at 360 kg
W/RN/3	1974	ley second and third years	24-Jun-74		diary record	NK applied (25:02:16) at 360 kg
W/RN/3	1974	ley second and third years	14-Jun-74		diary record	cut
W/RN/3	1974	ley second and third years	16-Sep-74		diary record	cut
W/RN/3	1974	clover first year	19-Oct-73		diary record	subsoiled: tines 140 cm apart and 50 cm deep
W/RN/3	1974	clover first year	12-Nov-73		diary record	ploughed
W/RN/3	1974	clover first year	14-Nov-73		diary record	disced
W/RN/3	1974	clover first year	03-Apr-74		diary record	power harrowed
W/RN/3	1974	clover first year	05-Apr-74		diary record	"power harrowed, rolled, N and K applied, N at 60-kg as 'Nitro-chalk', K20 at 130 kg as muriate of potash, seed sown"
W/RN/3	1974	clover first year	08-Apr-74		diary record	rolled
W/RN/3	1974	clover first year	16-Apr-74		diary record	P applied P205 at 190 kg as superphosphate
W/RN/3	1974	clover first year	26-May-74		diary record	weedkiller applied menazon with 2.4-DB and MCPA ('Legumex Extra' at 7.0 l in 280 l)
W/RN/3	1974	clover first year	08-Aug-74		diary record	cut twice
W/RN/3	1974	clover first year	16-Sep-74		diary record	cut twice
W/RN/3	1974	clover second year	06-Mar-74		diary record	"N and K applied N at 60 kg as 'Nitro-chalk', K20 at 190 kg as muriate of potash"
W/RN/3	1974	clover second year	25-Jul-74		diary record	cut twice
W/RN/3	1974	clover second year	16-Sep-74		diary record	cut twice
W/RN/3	1974	clover third year	06-Mar-74		diary record	"N and K applied N at 60 kg as 'Nitro-chalk', K20 at 190 kg as muriate of potash"
W/RN/3	1974	clover third year	04-Apr-74		diary record	"ploughed, because of weeds"
W/RN/3	1974	clover third year	05-Apr-74		diary record	"rolled, power harrowed, rolled, seed sown"
W/RN/3	1974	clover third year	26-May-74		diary record	weedkiller applied menazon with 2.4-DB and MCPA ('Legumex extra' at 7.0 1 in 280 1)
W/RN/3	1974	clover third year	16-Sep-74		diary record	cut one
W/RN/3	1974	potatoes first treatment crop	19-Oct-73		diary record	subsoiled: tines 140 cm apart and 50 cm deep
W/RN/3	1974	potatoes first treatment crop	12-Nov-73		diary record	ploughed
W/RN/3	1974	potatoes first treatment crop	14-Nov-73		diary record	disced
W/RN/3	1974	potatoes first treatment crop	22-Nov-73		diary record	"dichlorprop applied, spring-tine harrowed"
W/RN/3	1974	potatoes first treatment crop	03-Apr-74		diary record	power harrowed
W/RN/3	1974	potatoes first treatment crop	08-Apr-74		diary record	NPK applied (13:13:20) at 1940 kg.
W/RN/3	1974	potatoes first treatment crop	09-Apr-74		diary record	"Aldicarb applied, rotary cultivated"
W/RN/3	1974	potatoes first treatment crop	10-Apr-74		diary record	potatoes planted
W/RN/3	1974	potatoes first treatment crop	15-May-74		diary record	weedkiller applied Linuron at 1.2 kg plus paraquat at 0.28 kg ion in 280 l.
W/RN/3	1974	potatoes first treatment crop	11-Jun-74		diary record	rotary ridged
W/RN/3	1974	potatoes first treatment crop	18-Jul-74		diary record	Fungicide with insecticide applied mancozeb at 1.3 kg plus demeton-s-methyl at 0.25 kg in 450 l.
W/RN/3	1974	potatoes first treatment crop	07-Aug-74		diary record	mancozeb at 1.3 kg in 450 l
W/RN/3	1974	potatoes first treatment crop	16-Sep-74		diary record	Haulm mechanically destroyed
W/RN/3	1974	potatoes first treatment crop	18-Sep-74		diary record	sprayed with undiluted BOV at 170 l.
W/RN/3	1974	potatoes first treatment crop	14-Oct-74		diary record	lifted
W/RN/3	1974	barley second treatment crop	18-Dec-73		diary record	Deep-tine cultivated
W/RN/3	1974	barley second treatment crop	27-Mar-74		diary record	spring-tine cultivated
W/RN/3	1974	barley second treatment crop	28-Mar-74		diary record	spring-tine cultivated with crumbler
W/RN/3	1974	barley second treatment crop	29-Mar-74		diary record	seed sown (15:15:15) at 390 kg combine drilled.
W/RN/3	1974	barley second treatment crop	02-Apr-74		diary record	rolled
W/RN/3	1974	barley second treatment crop	30-Apr-74		diary record	"seed hay undersown (Arable H plots, harrowed and rolled"
W/RN/3	1974	barley second treatment crop	26-May-74		diary record	weedkiller applied menazon with 2.4-DB and MCPA ('Legmmex extra' at 7.0 1 in 260 1)
W/RN/3	1974	barley second treatment crop	22-Aug-74		diary record	combine harvested
W/RN/3	1974	barley third treatment crop	13-Nov-73		diary record	ploughed
W/RN/3	1974	barley third treatment crop	28-Mar-74		diary record	"spring-tine cultivated twice, with crumbler the second time"
W/RN/3	1974	barley third treatment crop	29-Mar-74		diary record	seed sown (15:15:15) at 390 kg combine drilled.
W/RN/3	1974	barley third treatment crop	02-Apr-74		diary record	rolled
W/RN/3	1974	barley third treatment crop	20-May-74		diary record	weedkiller applied ioxynil at 0.52 kg plus mecoprop at 1.6 kg in 280 l
W/RN/3	1974	barley third treatment crop	22-Aug-74		diary record	combine harvested
W/RN/3	1974	seeds hay arable rotation	15-Mar-73		diary record	seed undersown in barley
W/RN/3	1974	seeds hay arable rotation	06-Mar-74		diary record	"N, P and K applied N at 130 kg, as 'Nitro-chalk, plus (0:14:28) at 540 kg"
W/RN/3	1974	seeds hay arable rotation	14-Jun-74		diary record	cut twice
W/RN/3	1974	seeds hay arable rotation	16-Sep-74		diary record	cut twice
W/RN/3	1974	seeds hay arable rotation	24-Jun-74		diary record	NK applied (25:0:16) at 270 kg
W/RN/3	1974	potatoes first test crop	12-Nov-73		diary record	"first half corrective K applied, ploughed"
W/RN/3	1974	potatoes first test crop	14-Nov-73		diary record	disced
W/RN/3	1974	potatoes first test crop	23-Nov-73		diary record	"rotary cultivated, dichlorprop applied, spring-tine harrowed"
W/RN/3	1974	potatoes first test crop	18-Feb-74		diary record	second half corrective K applied
W/RN/3	1974	potatoes first test crop	03-Apr-74		diary record	power harrowed
W/RN/3	1974	potatoes first test crop	08-Apr-74		diary record	NPK applied (13:13:20) at 1940 kg.
W/RN/3	1974	potatoes first test crop	09-Apr-74		diary record	"discard applied, all plots rotary cultivated"
W/RN/3	1974	potatoes first test crop	10-Apr-74		diary record	potatoes planted
W/RN/3	1974	potatoes first test crop	16-May-74		diary record	weedkiller applied Linuron at 1.2 kg plus paraquat at 0.28 kg ion in 280 l.
W/RN/3	1974	potatoes first test crop	12-Jun-74		diary record	rotary ridged
W/RN/3	1974	potatoes first test crop	18-Jul-74		diary record	Fungicide with insecticide applied mancozeb at 1.3 kg plus demeton-s-methyl at 0.25 kg in 450 l.
W/RN/3	1974	potatoes first test crop	07-Aug-74		diary record	Fungicide applied mancozeb at 1.3 kg in 450 l
W/RN/3	1974	potatoes first test crop	16-Sep-74		diary record	Haulm mechanically destroyed
W/RN/3	1974	potatoes first test crop	18-Sep-74		diary record	sprayed with undiluted BOV at 170 l
W/RN/3	1974	potatoes first test crop	14-Oct-74		diary record	lifted
W/RN/3	1974	wheat second test crop	11-Oct-73		diary record	"Magnesian limestone applied 5 tonnes, rotary cultivated twice"
W/RN/3	1974	wheat second test crop	13-Oct-73		diary record	spring-tine cultivated
W/RN/3	1974	wheat second test crop	15-Oct-73		diary record	"seed sown, (0:20:20) at 200 kg, combine drilled."
W/RN/3	1974	wheat second test crop	05-Apr-74		diary record	mecoprop applied mecoprop at 0.84 kg in 280 l
W/RN/3	1974	wheat second test crop	11-Apr-74		diary record	N applied
W/RN/3	1974	wheat second test crop	14-May-74		diary record	ioxynil and mecoprop applied ioxynil at 0.52 kg plus mecoprop at 1.6 kg in 280 l
W/RN/3	1974	wheat second test crop	29-Aug-74		diary record	combine harvested
W/RN/3	1975	ley first year	11-Sep-74		diary record	paraquat applied paraquat at 0.56 kg ion in 280 l.
W/RN/3	1975	ley first year	17-Sep-74		diary record	subsoiled: tines 140 cm apart and 56 cm Dec
W/RN/3	1975	ley first year	31-Oct-74		diary record	ploughed
W/RN/3	1975	ley first year	6-Nov-1575		diary record	spring-tine cultivated three times
W/RN/3	1975	ley first year	24-Apr-1575		diary record	spring-tine cultivated three times
W/RN/3	1975	ley first year	28-Apr-1575		diary record	spring-tine cultivated three times
W/RN/3	1975	ley first year	30-Apr-1575		diary record	"rolled, N, P and K applied N at 50 kg as 'Nitro-chalk, P205 at 190 kg as superphosphate, K20 at 130 kg as muriate of potash in the seedbed."
W/RN/3	1975	ley first year	2-May-1575		diary record	"seed sown, harrowed in"
W/RN/3	1975	ley first year	4-May-1575		diary record	rolled
W/RN/3	1975	ley first year	8-June-1575		diary record	topped four times
W/RN/3	1975	ley first year	1-Aug-1575		diary record	topped four times
W/RN/3	1975	ley first year	2-Sept-1575		diary record	topped four times
W/RN/3	1975	ley first year	31-Oct-1575		diary record	topped four times
W/RN/3	1975	ley second and third years	06-Mar-75		diary record	NK applied (25:0:16) at 360 kg
W/RN/3	1975	ley second and third years	27-Jun-75		diary record	NK applied (25:0:16) at 360 kg
W/RN/3	1975	ley second and third years	23-Jun-75		diary record	cut once
W/RN/3	1975	ley second and third years	09-Sep-75		diary record	second year ley topped
W/RN/3	1975	ley second and third years	31-Oct-75		diary record	second year ley topped
W/RN/3	1975	ley second and third years	02-Sep-75		diary record	third year ley topped
W/RN/3	1975	clover first year	11-Sep-74		diary record	paraquat applied paraquat at 0.56 kg ion in 280 l.
W/RN/3	1975	clover first year	17-Sep-74		diary record	subsoiled: tines 140 cm apart and 56 cm deep
W/RN/3	1975	clover first year	31-Oct-74		diary record	ploughed
W/RN/3	1975	clover first year	06-Nov-75		diary record	spring-tine cultivated three times
W/RN/3	1975	clover first year	24-Apr-75		diary record	spring-tine cultivated three times
W/RN/3	1975	clover first year	28-Apr-75		diary record	spring-tine cultivated three times
W/RN/3	1975	clover first year	30-Apr-75		diary record	"rolled, N, P and K applied N at 50 kg as 'Nitro-chalk, P205 at 190 kg as superphosphate, K20 at 130 kg as muriate of potash in the seedbed."
W/RN/3	1975	clover first year	02-May-75		diary record	"seed sown, harrowed in"
W/RN/3	1975	clover first year	04-May-75		diary record	rolled
W/RN/3	1975	clover first year	08-Jun-75		diary record	topped four times
W/RN/3	1975	clover first year	01-Aug-75		diary record	topped four times
W/RN/3	1975	clover first year	02-Sep-75		diary record	topped four times
W/RN/3	1975	clover first year	31-Oct-75		diary record	topped four times
W/RN/3	1975	clover second year	06-Mar-75		diary record	"N and K applied N at 60 kg as 'Nitro-chalk, K20 at 190 kg as muriate of potash."
W/RN/3	1975	clover second year	23-Jun-75		diary record	cut twice
W/RN/3	1975	clover second year	28-Aug-75		diary record	cut twice
W/RN/3	1975	clover third year	06-Mar-75		diary record	"N and K applied N at 60 kg as 'Nitro-chalk, K20 at 190 kg as muriate of potash."
W/RN/3	1975	clover third year	22-May-75		diary record	"cut and carted off weeds, paraquat applied paraquat at 0.84 kg ion in 280 l"
W/RN/3	1975	clover third year	27-May-75		diary record	rotary cultivated
W/RN/3	1975	clover third year	06-Jun-75		diary record	"power harrowed, Red clover re-sown, harrowed in, rolled"
W/RN/3	1975	clover third year	23-Jun-75		diary record	weeds pulled by hand
W/RN/3	1975	clover third year	05-Aug-75		diary record	topped
W/RN/3	1975	clover third year	02-Sep-75		diary record	topped
W/RN/3	1975	seeds hay arable rotation	30-Apr-74		diary record	seed undersown in barley
W/RN/3	1975	seeds hay arable rotation	06-Mar-75		diary record	"N and PK applied N at 130 kg, as 'Nitro-chalk, plus (0:14:28) at 540 kg"
W/RN/3	1975	seeds hay arable rotation	23-Jun-75		diary record	cut
W/RN/3	1975	seeds hay arable rotation	27-Jun-75		diary record	NK applied (25:0:16) at 270 kg
W/RN/3	1975	potatoes first treatment crop	11-Sep-74		diary record	paraquat applied paraquat at 0.56 kg ion in 280 l.
W/RN/3	1975	potatoes first treatment crop	17-Sep-74		diary record	subsoiled: tines 140 cm part and 56 cm ceep
W/RN/3	1975	potatoes first treatment crop	31-Oct-74		diary record	ploughed
W/RN/3	1975	potatoes first treatment crop	06-Nov-74		diary record	spring-tine cultivated
W/RN/3	1975	potatoes first treatment crop	06-Jan-75		diary record	Deep-tine cultivated
W/RN/3	1975	potatoes first treatment crop	08-Jan-75		diary record	"dichlorprop applied, spring-tine cultivated"
W/RN/3	1975	potatoes first treatment crop	21-Apr-75		diary record	NPK applied (13:13:20) at 1940 kg.
W/RN/3	1975	potatoes first treatment crop	25-Apr-75		diary record	Deep-tine cultivated
W/RN/3	1975	potatoes first treatment crop	28-Apr-75		diary record	spring-tine cultivated
W/RN/3	1975	potatoes first treatment crop	05-May-75		diary record	"Aldicarb applied, all plots rotary cultivated, potatoes planted"
W/RN/3	1975	potatoes first treatment crop	10-May-75		diary record	ridges rolled
W/RN/3	1975	potatoes first treatment crop	22-May-75		diary record	weedkiller applied Linuron at 1.2 kg plus paraquat at 0.28 kg ion in 280 l
W/RN/3	1975	potatoes first treatment crop	23-Jun-75		diary record	grubbed
W/RN/3	1975	potatoes first treatment crop	24-Jun-75		diary record	rotary ridged
W/RN/3	1975	potatoes first treatment crop	25-Jun-75		diary record	insecticide applied demeton-s-methyl at 0.25 kg in 280 l.
W/RN/3	1975	potatoes first treatment crop	15-Jul-75		diary record	Fungicide applied mancozeb at 1.3 kg 390 l
W/RN/3	1975	potatoes first treatment crop	26-Sep-75		diary record	Haulm mechanically destroyed
W/RN/3	1975	potatoes first treatment crop	07-Oct-75		diary record	sprayed with undiluted BOV at 160 l. lifted
W/RN/3	1975	barley second treatment crop	31-Dec-74		diary record	Deep-tine cultivated twice
W/RN/3	1975	barley second treatment crop	06-Jan-75		diary record	Deep-tine cultivated twice
W/RN/3	1975	barley second treatment crop	26-Feb-75		diary record	"spring-tine cultivated three times, the second time with crumbler"
