experiment,year,cropped section,start date,end date,operation,operation type
Broadbalk,1968,potatoes,29-Apr-68,,machine planted,
Broadbalk,1968,potatoes,20-May-68,,Grubbed,
Broadbalk,1968,potatoes,28-May-68,,rotary ridged,
Broadbalk,1968,potatoes,19-Jun-68,,"Grubbed, then rotary ridged",
Broadbalk,1968,potatoes,04-Jul-68,,sprayed with Mancozeb at 1.2 lb in 37 gals,
Broadbalk,1968,potatoes,19-Jul-68,,"go sprayed with Mancozeb at 1.2 lb, demeton-s-methyl at 3.5 oz in 37 gals",
Broadbalk,1968,potatoes,05-Aug-68,,sprayed with Mancozeb at 1.2 lb in 37 gals,
Broadbalk,1968,potatoes,31-Aug-68,,sprayed with undiluted BOV at 20 gals,
Broadbalk,1968,potatoes,13-Sep-67,,Haulm mechanically destroyed,
Broadbalk,1968,potatoes,19-Sep-68,,Lifted,
Broadbalk,1968,spring beans,04-Mar-68,,seed drilled at 200 lb,
Broadbalk,1968,spring beans,05-Mar-68,,sprayed with simazine at 1 1b in 33 gals,
Broadbalk,1968,spring beans,26-Mar-68,,Nitro-chalk applied,
Broadbalk,1968,spring beans,22-Jun-68,,1.04 1b phorate applied in granules,
Broadbalk,1968,spring beans,06-Sep-67,,combine harvested,
Broadbalk,1968,fallow sections,28-May-68,,ploughed second time,
Broadbalk,1968,fallow sections,05-Aug-68,,third time,
Broadbalk,1968,fallow sections,21-Sep-67,,"area of each sub plots acre harvested 0,0018 (Plots 2A, 28) 0.0031 (Remainder) 0.0046 Cultivations to sections 00 As sections G except- rotary cultivated",
Broadbalk,1968,fallow sections,27-Sep-67,,Methyl bromide applied,
Broadbalk,1968,fallow sections,25-Aug-68,,combine harvested,
Broadbalk Wilderness,1968,grazed meadow,02-May-68,10-May-68,grazed by sheep,
Broadbalk Wilderness,1968,grazed meadow,27-May-68,31-May-68,grazed by sheep,
Broadbalk Wilderness,1968,grazed meadow,10-Jun-68,17-Jun-68,grazed by sheep,
Broadbalk Wilderness,1968,grazed meadow,08-Jul-68,17-Jul-68,grazed by sheep,
Broadbalk Wilderness,1968,grazed meadow,16-Aug-68,23-Aug-68,grazed by sheep,
Broadbalk Wilderness,1968,grazed meadow,18-Sep-68,24-Sep-68,grazed by sheep,
Broadbalk Wilderness,1968,grazed meadow,10-Oct-68,16-Oct-68,grazed by sheep,
Broadbalk Wilderness,1968,grazed meadow,10-May-68,,grass topped,
Broadbalk Wilderness,1968,grazed meadow,18-Jun-68,,grass topped,
Broadbalk Wilderness,1968,grazed meadow,18-Jul-68,,grass topped,
Broadbalk Wilderness,1968,grazed meadow,24-Aug-68,,grass topped,
Broadbalk Wilderness,1968,grazed meadow,18-Oct-68,,grass topped,
Broadbalk,1969,potatoes,05-Sep-68,,Paraquat applied,
Broadbalk,1969,potatoes,09-Apr-69,,Nitro-chalk applied,
Broadbalk,1969,potatoes,10-Apr-69,,potatoes machine planted,
Broadbalk,1969,potatoes,12-May-69,,Linuron plus paraquat applied,
Broadbalk,1969,potatoes,18-Jun-69,,Grubbed,
Broadbalk,1969,potatoes,23-Jun-69,,rotary ridged,
Broadbalk,1969,potatoes,15-Jul-69,,Fungicide applied,
Broadbalk,1969,potatoes,04-Aug-69,,Fungicide applied,
Broadbalk,1969,potatoes,22-Aug-69,,Fungicide applied,
Broadbalk,1969,potatoes,04-Aug-69,,Insecticide applied,
Broadbalk,1969,potatoes,20-Sep-68,,"Haulm destroyed mechanically (except treatments N2, NOP, NOPNa, R, where Haulm disced early)",
Broadbalk,1969,potatoes,25-Sep-69,,Lifted,
Broadbalk,1969,winter wheat,05-Sep-68,10-Sep-68,Paraquat applied,
Broadbalk,1969,winter wheat,17-Oct-68,,seed drilled at 180 lb,
Broadbalk,1969,winter wheat,18-Oct-68,,'Prebane' applied,
Broadbalk,1969,winter wheat,17-Apr-69,,Nitro-chalk applied,
Broadbalk,1969,winter wheat,29-Aug-69,,MCPA/mecoprop/dicamba applied l May. combine harvested,
Broadbalk,1969,winter wheat,21-Aug-69,,Cultivations to sections 00 As BOV except harvested by all combine,
Broadbalk,1969,all sections,25-Sep-68,,autumn fertilizers applied,
Broadbalk,1969,all sections,01-Oct-68,05-Oct-68,"FYM applied lh Oct, ploughed",
Broadbalk,1969,spring beans,24-Mar-69,,seed drilled at 200 lb,
Broadbalk,1969,spring beans,09-Apr-69,,Nitro-chalk applied,
Broadbalk,1969,spring beans,19-Jun-69,,Insecticide applied,
Broadbalk,1969,spring beans,10-Sep-68,,combine harvested,
Broadbalk,1969,fallow sections,05-Sep-68,,Weedkiller applied,
Broadbalk,1969,fallow sections,13-Mey-1969,,ploughed second time,
Broadbalk,1969,fallow sections,08-Jul-69,,thirà time,
Broadbalk Wilderness,1969,ungrazed meadow,2k-Dec-1968,,topped with rotary grass cutter,
Broadbalk Wilderness,1969,grazed meadow,17-Apr-69,25-Apr-69,grazed by sheep,
Broadbalk Wilderness,1969,grazed meadow,13-May-69,20-May-69,grazed by sheep,
Broadbalk Wilderness,1969,grazed meadow,05-Jun-69,10-Jun-69,grazed by sheep,
Broadbalk Wilderness,1969,grazed meadow,27-Jun-69,,grazed by sheep,
Broadbalk Wilderness,1969,grazed meadow,05-Aug-69,12-Aug-69,"lh July,",
Broadbalk Wilderness,1969,grazed meadow,05-Sep-69,29-Sep-69,"lh July,",
Broadbalk Wilderness,1969,grazed meadow,27-Oct-69,31-Oct-69,"lh July,",
Broadbalk Wilderness,1969,grazed meadow,25-Apr-69,,grass topped,
Broadbalk Wilderness,1969,grazed meadow,21-Mey-1969,,grass topped,
Broadbalk Wilderness,1969,grazed meadow,09-Jun-69,,grass topped,
Broadbalk Wilderness,1969,grazed meadow,12-Aug-69,,"lh July,",
Broadbalk Wilderness,1969,grazed meadow,31-Sept-1968,,"lh July,",
Broadbalk,1970,potatoes,12-Sep-69,,rotary cultivated,
Broadbalk,1970,potatoes,17-Apr-70,,N applied,
Broadbalk,1970,potatoes,30-Apr-70,,"Plots rotary cultivated, potatoes macnine planted",
Broadbalk,1970,potatoes,20-May-70,,Weedkiller applied,
Broadbalk,1970,potatoes,30-Jun-70,,"all plots except 1, 21, 22, 7, 8, 9, 13, 15 grubbed, rotary ridged",
Broadbalk,1970,potatoes,2°-July-1970,,"Fungicide, insecticide applied",
Broadbalk,1970,potatoes,14-Aug-70,,Fungicide applied,
Broadbalk,1970,potatoes,03-Sep-69,,sprayed with undiluted BOV at 15 seals,
Broadbalk,1970,potatoes,15-Sep-70,,Lifted,
Broadbalk,1970,winter wheat,12-Sep-69,,rotary cultivated,
Broadbalk,1970,winter wheat,13-Oct-69,,"all plots rotary cultivated second time, plots 15 19, sections 0 and 1 rotary cultivated third time",
Broadbalk,1970,winter wheat,15-Oct-69,,seed drilled at 180 lb,
Broadbalk,1970,winter wheat,17-Oct-69,,'Prebane' applied,
Broadbalk,1970,winter wheat,30-Apr-70,,N applied,
Broadbalk,1970,winter wheat,06-May-70,,MCPA/mecoprop/dicamba applied,
Broadbalk,1970,winter wheat,27-Aug-70,,combine harvested,
Broadbalk,1970,all plots,29-Sep-69,,autumn fertilizers applied,
Broadbalk,1970,spring beans,21-Mar-70,,seed drilled at 200 lb,
Broadbalk,1970,spring beans,17-Apr-70,,N applied,
Broadbalk,1970,spring beans,19-Jun-70,,Insecticide applied,
Broadbalk,1970,spring beans,02-Sep-69,,combine harvested,
Broadbalk,1970,fallow sections,12-Sep-69,,rotary cultivated,
Broadbalk,1970,fallow sections,20-May-70,,ploughed second time,
Broadbalk,1970,fallow sections,09-Jul-70,,third time,
Broadbalk Wilderness,1970,ungrazed meadow,27-Oct-69,,topped with rotary grass cutter,
Broadbalk Wilderness,1970,grazed meadow,29-Apr-70,,grazed by sheep,
Broadbalk Wilderness,1970,grazed meadow,11-May-70,,grazed by sheep,
Broadbalk Wilderness,1970,grazed meadow,27-u-1970,03-Jun-70,grazed by sheep,
Broadbalk Wilderness,1970,grazed meadow,29-u-1970,03-Jul-70,grazed by sheep,
Broadbalk Wilderness,1970,grazed meadow,03-Aug-70,1h-Aug-1970,grazed by sheep,
Broadbalk Wilderness,1970,grazed meadow,15-Sep-70,86-Sept-1970,grazed by sheep,
Broadbalk Wilderness,1970,grazed meadow,19-Oct-70,,grazed by sheep,
Broadbalk Wilderness,1970,grazed meadow,11-May-70,,grass topped,
Broadbalk Wilderness,1970,grazed meadow,03-Jun-70,,grass topped,
Broadbalk Wilderness,1970,grazed meadow,06-Jul-70,,grass topped,
Broadbalk Wilderness,1970,grazed meadow,20-Aug-70,,grass topped,
Broadbalk Wilderness,1970,grazed meadow,26-Sep-70,,grass topped,
Broadbalk,1971,potatoes,04-Feb-71,,Paraquat applied,
Broadbalk,1971,potatoes,02-Apr-71,,"WN applied, plots rotary cultivated",
Broadbalk,1971,potatoes,03-Apr-71,,potatoes machine planted,
Broadbalk,1971,potatoes,08-May-71,,Linuron plus paraquat applied,
Broadbalk,1971,potatoes,03-Jun-71,,"Plots Ol, 21, 22 grubbed",
Broadbalk,1971,potatoes,04-Jun-71,,rotary ridged,
Broadbalk,1971,potatoes,05-Jun-71,,remaining plots grubbed,
Broadbalk,1971,potatoes,10-Jun-71,,rotary ridged,
Broadbalk,1971,potatoes,23-Jun-71,,Fungicide applied,
Broadbalk,1971,potatoes,16-Aug-71,,and,
Broadbalk,1971,potatoes,26-Sep-70,08-Sep-70,Haulm mechanically destroyed,
Broadbalk,1971,potatoes,14-Sep-71,,Lifted,
Broadbalk,1971,winter wheat,11-Sep-70,,Paraquat applied to sections 0,
Broadbalk,1971,winter wheat,09-Oct-70,,seed drilled at 202 kg,
Broadbalk,1971,winter wheat,10-Oct-70,,'Prebane' applied,
Broadbalk,1971,winter wheat,08-Apr-71,,N applied,
Broadbalk,1971,winter wheat,15-Apr-71,,MCPA/mecoprop/dicamba applied,
Broadbalk,1971,winter wheat,28-Jul-71,,"Plot 19, sections 8 cut green, all produce removed (because of excessive seed infestation), then deep-tine cultivated twice",
Broadbalk,1971,winter wheat,27-Aug-71,,combine harvested,
Broadbalk,1971,spring beans,04-Feb-71,,Paraquat applied,
Broadbalk,1971,spring beans,24-Feb-71,,N applied,
Broadbalk,1971,spring beans,25-Feb-71,,seed drilled at 224 kg,
Broadbalk,1971,spring beans,01-Jul-71,,Insecticide applied,
Broadbalk,1971,spring beans,02-Sep-70,,combine harvested,
Broadbalk,1971,all plots,18-Sep-70,,autumn fertilizers applied,
Broadbalk,1971,all plots,22-Sep-70,,FYM applied,
Broadbalk,1971,all plots,21-Sep-70,23-Sep-70,ploughed,
Broadbalk,1971,fallow sections,19-Apr-71,,ploughed second time,
Broadbalk Wilderness,1971,ungrazed meadow,23-Oct-70,,topped with rotary grass cutter,
Broadbalk Wilderness,1971,grazed meadow,05-May-71,26-May-71,grazed by sheep,
Broadbalk Wilderness,1971,grazed meadow,08-Jun-71,16-Jun-71,grazed by sheep,
Broadbalk Wilderness,1971,grazed meadow,06-Jul-71,16-Jul-71,grazed by sheep,
Broadbalk Wilderness,1971,grazed meadow,10-Sep-71,21-Sep-71,"Ang,",
Broadbalk Wilderness,1971,grazed meadow,27-May-71,,grass topped,
Broadbalk Wilderness,1971,grazed meadow,16-Jun-71,,grass topped,
Broadbalk Wilderness,1971,grazed meadow,16-Jul-71,,grass topped,
Broadbalk Wilderness,1971,grazed meadow,22-Sep-71,,grass topped,
Broadbalk,1972,potatoes,10-Sep-71,,"Aminotriazole, ammonia thiocyanate applied",
Broadbalk,1972,potatoes,18-Apr-72,,N applied,
Broadbalk,1972,potatoes,19-Apr-72,,"Plots rotary EF à cultivated, potatoes machine planted",
Broadbalk,1972,potatoes,17-May-72,,"sprayed with linuron, paraquat",
Broadbalk,1972,potatoes,14-Jun-72,,Grubbed,
Broadbalk,1972,potatoes,15-u-1972,2l-June-1972,rotary ridged,
Broadbalk,1972,potatoes,12-Jul-72,,Fungicide applied,
Broadbalk,1972,potatoes,21-Jul-72,,Fungicide applied,
Broadbalk,1972,potatoes,10-Aug-72,,Fungicide applied,
Broadbalk,1972,potatoes,21-Jul-72,,Insecticide applied,
Broadbalk,1972,potatoes,16-Sep-71,,sprayed with undiluted BOV at 150 1,
Broadbalk,1972,potatoes,28-Sep-72,,Lifted,
Broadbalk,1972,winter wheat,10-Sep-71,,"Aminotriazole, ammonia thiocyanate applied",
Broadbalk,1972,winter wheat,22-Oct-71,,seed drilled,
Broadbalk,1972,winter wheat,25-Oct-71,,'Prebane' applied,
Broadbalk,1972,winter wheat,18-Apr-72,,N applied,
Broadbalk,1972,winter wheat,27-Apr-72,,MCPA/mecoprop/dicamba applied,
Broadbalk,1972,winter wheat,01-Sep-71,,combine harvested,
Broadbalk,1972,spring beans,16-Mar-72,,"N applied, seed drilled",
Broadbalk,1972,spring beans,17-Jun-72,,Phorate applied,
Broadbalk,1972,spring beans,05-Aug-72,,Demeton-s-methyl applied,
Broadbalk,1972,spring beans,27-Sep-71,,combine harvested,
Broadbalk,1972,all plots,21-Sep-71,,autumn fertilizers applied,
Broadbalk,1972,all plots,29-Sep-71,,FYM applied,
Broadbalk,1972,all plots,30-Sep-71,,ploughed,
Broadbalk,1972,fallow sections,10-Sep-71,,"Aminotriazole, ammonia thiocyanate applied to sections 5",
Broadbalk,1972,fallow sections,10-Jul-72,,"ploughed second time May, third times",
Broadbalk Wilderness,1972,ungrazed meadow,17-Nov-71,,topped with rotary grass cutter,
Broadbalk Wilderness,1972,grazed meadow,05-May-72,25-May-72,grazed by sheep,
Broadbalk Wilderness,1972,grazed meadow,09-Jun-72,16-Jun-72,grazed by sheep,
Broadbalk Wilderness,1972,grazed meadow,30-Jun-72,,grazed by sheep,
Broadbalk Wilderness,1972,grazed meadow,07-Jul-72,,grazed by sheep,
Broadbalk Wilderness,1972,grazed meadow,20-Jul-72,28-Jul-72,grazed by sheep,
Broadbalk Wilderness,1972,grazed meadow,15-Aug-72,24-Aug-72,grazed by sheep,
Broadbalk Wilderness,1972,grazed meadow,15-Sep-72,,all Sept,
Broadbalk Wilderness,1972,grazed meadow,25-May-72,,grass topped,
Broadbalk Wilderness,1972,grazed meadow,16-Jun-72,,grass topped,
Broadbalk Wilderness,1972,grazed meadow,07-Jul-72,,grass topped,
Broadbalk Wilderness,1972,grazed meadow,28-Jul-72,,grass topped,
Broadbalk Wilderness,1972,grazed meadow,24-Aug-72,,grass topped,
Broadbalk Wilderness,1972,grazed meadow,15-Sep-72,,grass topped,
Broadbalk,1973,winter wheat,17-Oct-72,,seed sown,
Broadbalk,1973,winter wheat,20-Oct-72,,'Prebane' applied,
Broadbalk,1973,winter wheat,13-Apr-73,,N applied,
Broadbalk,1973,winter wheat,26-Apr-73,,'Tetralex Plus' applied,
Broadbalk,1973,winter wheat,20-Aug-73,,combine harvested,
Broadbalk,1973,potatoes,06-Apr-73,,"N applied 21 Mer, potatoes machine planted",
Broadbalk,1973,potatoes,11-May-73,,Linuron plus paraquat applied,
Broadbalk,1973,potatoes,02-Jul-73,,"Mancozeb, Demeton-s-methyl applied",
Broadbalk,1973,potatoes,24-Jul-73,,Mancozeb applied,
Broadbalk,1973,potatoes,09-Aug-73,,Mancozeb applied,
Broadbalk,1973,potatoes,25-Sep-72,,"Haulm destroyed mechanically, sprayed with undiluted BOV at 220 1 31 Avg. Lifted",
Broadbalk,1973,spring beans,08-Mar-73,,N applied,
Broadbalk,1973,spring beans,09-Mar-73,,seed sown,
Broadbalk,1973,spring beans,08-Jun-73,,Insecticide applied,
Broadbalk,1973,spring beans,03-Sep-72,,combine harvested,
Broadbalk,1973,all sections,03-Oct-72,,autumn fertilizers applied,
Broadbalk,1973,fallow sections,16-May-73,,ploughed second time,
Broadbalk,1973,fallow sections,09-Jul-73,,third time,
Broadbalk,1974,winter wheat,12-Sep-73,,*Weedazol* applied,
Broadbalk,1974,winter wheat,13-Oct-73,,disced,
Broadbalk,1974,winter wheat,18-Oct-73,,"per harrowed, seed sown",
Broadbalk,1974,winter wheat,22-Oct-73,,'Prebane' applied,
Broadbalk,1974,winter wheat,11-Apr-74,,N applied,
Broadbalk,1974,winter wheat,18-Apr-74,,'Banlene Plus' applied,
Broadbalk,1974,winter wheat,29-Aug-74,,combine harvested,
Broadbalk,1974,potatoes,11-Apr-74,,Spring-tine cultivated,
Broadbalk,1974,potatoes,16-Apr-74,,N applied,
Broadbalk,1974,potatoes,17-Apr-74,,"rotary cultivated, potatoes machine planted",
Broadbalk,1974,potatoes,17-May-74,,Linuron plus paraquat applied,
Broadbalk,1974,potatoes,19-Jun-74,,Grubbed,
Broadbalk,1974,potatoes,22-Jun-74,,"rotary ridged Plots O1, 21, 22",
Broadbalk,1974,potatoes,24-Jun-74,,"plots 6-9,",
Broadbalk,1974,potatoes,11-Jul-74,,"plots 3, 5, 10, 11, July. insecticide with fungicide applied",
Broadbalk,1974,potatoes,02-Aug-74,,Fungicide applied,
Broadbalk,1974,potatoes,10-Sep-73,,Haulm mechanically destroyed,
Broadbalk,1974,spring beans,27-Sep-73,,s Spring-tine cultivated,
Broadbalk,1974,spring beans,08-Mar-74,,N applied,
Broadbalk,1974,spring beans,09-Mar-74,,Spring-tine cultivated,
Broadbalk,1974,spring beans,27-Mar-74,,"per harrowed, seed sown-and spring-tine cultivated",
Broadbalk,1974,spring beans,13-Jun-74,,Insecticide applied,
Broadbalk,1974,spring beans,26-Sep-73,,combine harvested,
Broadbalk,1974,all sections,04-Oct-73,,autumn fertilizers applied,
Broadbalk,1974,all sections,05-Oct-73,,Castor meal applied,
Broadbalk,1974,all sections,09-Oct-73,,FYM applied,
Broadbalk,1974,fallow sections,11-Apr-74,,Spring-tine cultivated,
Broadbalk,1974,fallow sections,09-Jul-74,,Spring-tine cultivated,
Broadbalk,1974,fallow sections,08-Aug-74,,Spring-tine cultivated,
Broadbalk,1974,fallow sections,07-May-74,,ploughed,
Broadbalk,1974,fallow sections,22-Jul-74,,ploughed,
Broadbalk,1975,winter wheat,06-Nov-74,,rotary harrowed,
Broadbalk,1975,winter wheat,07-Nov-74,,seed sown,
Broadbalk,1975,winter wheat,22-Apr-75,,N applied,
Broadbalk,1975,winter wheat,9-Mey-1975,,Weedkiller applied,
Broadbalk,1975,winter wheat,13-Aug-75,,combine harvested,
Broadbalk,1975,potatoes,01-May-75,,Spring-tine cultivated,
Broadbalk,1975,potatoes,05-May-75,,N applied,
Broadbalk,1975,potatoes,07-May-75,,"Spike rotary cultivated, planted",
Broadbalk,1975,potatoes,12-May-75,,Grubbed,
Broadbalk,1975,potatoes,04-Jun-75,,Linuron plus paraquat applied,
Broadbalk,1975,potatoes,27-Jun-75,,"Insecticide applied, grubbed",
Broadbalk,1975,potatoes,18-Jul-75,,rotary cultivated,
Broadbalk,1975,potatoes,21-Jul-75,,Insecticide with Fungicide applied,
Broadbalk,1975,potatoes,16-Sep-74,,Haulm mechanically destroyed plot 014 only,
Broadbalk,1975,potatoes,19-Sep-74,,on remaining plots,
Broadbalk,1975,potatoes,19-Sep-75,,Lifted,
Broadbalk,1975,spring beans,04-Mar-75,,N applied,
Broadbalk,1975,spring beans,25-Mar-75,,"rotary cultivated, seed sown and spring-tine cultivated",
Broadbalk,1975,spring beans,21-May-75,,Tractor hoed twice,
Broadbalk,1975,spring beans,24-Jun-75,,once,
Broadbalk,1975,spring beans,09-Jul-75,,Insecticide applied,
Broadbalk,1975,fallow sections,01-May-75,,Spring-tine cultivated,
Broadbalk,1975,fallow sections,16-May-75,,ploughed,
Broadbalk,1975,fallow sections,27-May-75,,Spring-tine cultivated,
Broadbalk,1975,fallow sections,15-Jul-75,,ploughed,
Broadbalk,1976,potatoes,29-Sep-75,,Chalk applied,
Broadbalk,1976,potatoes,09-Dec-75,,Deep-tine cultivated,
Broadbalk,1976,potatoes,22-Mar-76,,Spring-tine cultivated,
Broadbalk,1976,potatoes,25-Mar-76,,N applied,
Broadbalk,1976,potatoes,29-Mar-76,,"rotary cultivated, potatoes machine planted",
Broadbalk,1976,potatoes,30-Mar-76,,Grubbed,
Broadbalk,1976,potatoes,05-May-76,,Weedkillers applied,
Broadbalk,1976,potatoes,17-Jun-76,,Insecticide applied,
Broadbalk,1976,potatoes,21-Jun-76,,Grubbed and rotary ridged,
Broadbalk,1976,potatoes,28-Jul-76,,Fungicide applied,
Broadbalk,1976,potatoes,13-Sep-75,,Haulm mechanically destroyed,
Broadbalk,1976,potatoes,24-Sep-76,,Lifted,
Broadbalk,1976,spring beans,09-Dec-75,,Deep-tine cultivated,
Broadbalk,1976,spring beans,27-Feb-76,,N applied,
Broadbalk,1976,spring beans,05-Mar-76,,Heavy spring-tine cultivated,
Broadbalk,1976,spring beans,04-Mar-76,,seed sown,
Broadbalk,1976,spring beans,27-Apr-76,,Tractor hoed,
Broadbalk,1976,spring beans,25-May-76,,Tractor hoed,
Broadbalk,1976,spring beans,20-Jul-76,,combine harvested,
Broadbalk,1976,all sections,30-Sep-75,,"autumn fertilizers, castor meal applied",
Broadbalk,1976,all sections,09-Oct-75,,FYM applied,
Broadbalk,1976,all sections,11-Oct-75,,ploughed,
Broadbalk,1976,winter wheat,24-Sep-75,,glyphosate applied,
Broadbalk,1976,winter wheat,29-Sep-75,,Chalk applied,
Broadbalk,1976,winter wheat,16-Oct-75,,"rotary harrowed sections 5, 6, 7, 8, 9, sprine-tine cultivated and rotary harrowed twice sections 0, 1 14 Oci. seed sown",
Broadbalk,1976,winter wheat,18-Oct-75,,'Prebane' applied,
Broadbalk,1976,winter wheat,31-Mar-76,,N applied,
Broadbalk,1976,winter wheat,08-Apr-76,,Dimethoate applied,
Broadbalk,1976,winter wheat,29-Apr-76,,'Banlene Plus' applied,
Broadbalk,1976,winter wheat,24-Jun-76,,Pirimicarb applied,
Broadbalk,1976,winter wheat,30-Jul-76,,combine harvested,
Broadbalk,1976,fallow sections,29-Sep-75,,Chalk applied,
Broadbalk,1976,fallow sections,09-Dec-75,,Deep-tine cultivated,
Broadbalk,1976,fallow sections,22-Mar-76,,Spring-tine cultivated,
Broadbalk,1976,fallow sections,20-Jul-76,,Spring-tine cultivated,
Broadbalk,1976,fallow sections,20-Apr-76,,Heavy spring-tine cultivated,
Broadbalk,1976,fallow sections,11-Jun-76,,Heavy spring-tine cultivated,
Broadbalk,1976,fallow sections,08-Jul-76,,"ploughed 2 Jme,",
Broadbalk,1977,potatoes,06-Sep-76,,Chalk applied,
Broadbalk,1977,potatoes,18-Apr-77,,"Spring-tine cultivated, N applied",
Broadbalk,1977,potatoes,19-Apr-77,,"Spike rotary cultivated, potatoes machine planted",
Broadbalk,1977,potatoes,21-Apr-77,,Grubbed,
Broadbalk,1977,potatoes,21-Jun-77,,Grubbed,
Broadbalk,1977,potatoes,23-May-77,,Weedkillers applied,
Broadbalk,1977,potatoes,22-Jun-77,,FYM plots rotary ridged,
Broadbalk,1977,potatoes,23-Jun-77,,Fungicide applied,
Broadbalk,1977,potatoes,05-Jul-77,,Fungicide applied,
Broadbalk,1977,potatoes,30-Jun-77,,"remaining plots grubbed, rotary ridged",
Broadbalk,1977,potatoes,26-Jul-77,,Fungicide with insecticide applied,
Broadbalk,1977,potatoes,10-Aug-77,,Fungicide with insecticide applied,
Broadbalk,1977,potatoes,14-Sep-77,,Lifted,
Broadbalk,1977,winter wheat,06-Aug-77,,Diquat applied,
Broadbalk,1977,winter wheat,06-Sep-76,,glyphosate applied,
Broadbalk,1977,winter wheat,07-Sep-76,,Chalk applied,
Broadbalk,1977,winter wheat,03-Nov-76,,"sections 8, 9 rotary harrowed",
Broadbalk,1977,winter wheat,04-Nov-76,,"sections 0, 1 rotary harrowed",
Broadbalk,1977,winter wheat,04-Nov-76,,"sections 3, 4, 5 heavy spring-tine cultivated",
Broadbalk,1977,winter wheat,22-Nov-76,,"sections 3, 4, 5 rotary harrowed",
Broadbalk,1977,winter wheat,24-Nov-76,,"seed sown, spring-tine cultivated",
Broadbalk,1977,winter wheat,18-Apr-77,,N applied,
Broadbalk,1977,winter wheat,10-May-77,,"spring weedkillers applied to sections 3, 4, 5, 9",
Broadbalk,1977,winter wheat,23-May-77,,"spring weedkillers applied to sections 0, 1",
Broadbalk,1977,winter wheat,12-Jul-77,,Insecticide applied,
Broadbalk,1977,winter wheat,08-Sep-76,,combine harvested,
Broadbalk,1977,spring beans,07-Mar-77,,N applied,
Broadbalk,1977,spring beans,09-Mar-77,,rotary harrowed,
Broadbalk,1977,spring beans,10-Mar-77,,seed sown,
Broadbalk,1977,spring beans,18-May-77,,Tractor hoed,
Broadbalk,1977,spring beans,19-Jul-77,,Insecticide applied,
Broadbalk,1977,spring beans,15-Sep-76,,combine harvested,
Broadbalk,1977,all sections,05-Oct-76,,"Sulphate of potash, superphosphate applied",
Broadbalk,1977,all sections,11-Oct-76,,"Sulphate of soda, kieserite, castor meal applied Oct. FYM applied",
Broadbalk,1977,fallow sections,06-Sep-76,,Chalk applied,
Broadbalk,1977,fallow sections,29-Apr-77,,Spring-tine cultivated,
Broadbalk,1977,fallow sections,11-Aug-77,,Spring-tine cultivated,
Broadbalk,1977,fallow sections,25-May-77,,ploughed,
Broadbalk,1977,fallow sections,20-Jul-77,,ploughed,
Broadbalk,1978,potatoes,20-Sep-77,,Chalk applied,
Broadbalk,1978,potatoes,31-Mar-78,,Heavy spring-tine cultivated,
Broadbalk,1978,potatoes,25-Apr-78,,N applied,
Broadbalk,1978,potatoes,08-May-78,,Paraquat applied,
Broadbalk,1978,potatoes,09-May-78,,"Spike rotary cultivated, planted",
Broadbalk,1978,potatoes,15-May-78,,Linuron applied,
Broadbalk,1978,potatoes,26-Jun-78,,Grubbed and rotary ridged,
Broadbalk,1978,potatoes,05-Jul-78,,Mancozeb applied,
Broadbalk,1978,potatoes,18-Jul-78,,Mancozeb and pirimicarb applied twice,
Broadbalk,1978,potatoes,04-Aug-78,,Mancozeb and pirimicarb applied twice,
Broadbalk,1978,potatoes,17-Aug-78,,'Fennite A' applied,
Broadbalk,1978,potatoes,07-Sep-77,,Haulm pulverized,
Broadbalk,1978,potatoes,27-Sep-78,,Lifted,
Broadbalk,1978,winter wheat,19-Sep-77,,Chalk applied,
Broadbalk,1978,winter wheat,17-Oct-77,,rotary harrowed,
Broadbalk,1978,winter wheat,19-Oct-77,,seed sown,
Broadbalk,1978,winter wheat,24-Oct-77,,Terbutryne applied,
Broadbalk,1978,winter wheat,30-Mar-78,,sections 6 Insecticide applied,
Broadbalk,1978,winter wheat,08-May-78,,"N, 'Banlene Plus' applied",
Broadbalk,1978,winter wheat,29-Aug-78,,"sections 0, 1, 2, 3, 8, 9, combine harvested",
Broadbalk,1978,winter wheat,30-Aug-78,,sections 6 combine harvested,
Broadbalk,1978,all sections,22-Sep-77,,"Superphosphate, sulphate of soda, kieserite,, castor meal applied",
Broadbalk,1978,all sections,23-Sep-77,,Sulphate of potash applied,
Broadbalk,1978,all sections,28-Sep-77,,"Subsoiled, tines 160 cm apart, 3% cm deep",
Broadbalk,1978,all sections,04-Oct-77,,FYM applied,
Broadbalk,1978,all sections,06-Oct-77,,ploughed,
Broadbalk,1978,spring beans,09-Mar-78,,Spring-tine cultivated,
Broadbalk,1978,spring beans,10-Mar-78,,"N applied, rotary harrowed, seed sown",
Broadbalk,1978,spring beans,19-May-78,,Tractor hoed twice,
Broadbalk,1978,spring beans,08-Jun-78,,Tractor hoed twice,
Broadbalk,1978,spring beans,07-Jul-78,,Pirimicarb applied,
Broadbalk,1978,spring beans,19-Sep-77,,Haulm desiccant applied,
Broadbalk,1978,spring beans,22-Sep-77,,combine harvested,
Broadbalk,1978,fallow sections,20-Sep-77,,Chalk applied,
Broadbalk,1978,fallow sections,31-Mar-78,,Heavy spring-tine cultivated,
Broadbalk,1978,fallow sections,08-May-78,,Paraquat applied,
Broadbalk,1978,fallow sections,24-May-78,,ploughed twice,
