Experiment,year,section,new start date,new end date,operation,intensity,plots,flag,operation type,amount,unit,water,water unit,crop,variety,dressing,machine,method
Exhaustion Land,2003,all plots,03/10/2002,,applied chalk,,,2,liming process,4,t/ha,,,,,,,
Exhaustion Land,2003,all plots,29/04/2003,,nitrogen,,,2,agronomic fertilization process,33.5,% N,448,kg/ha,,,,,
Exhaustion Land,2003,k test,01/10/2002,,P basal as triple superphosphate,,"plots 2, 4, 6, 8 & 10",2,agronomic fertilization process,,,98,kg/ha,,,,,
Exhaustion Land,2003,p test,01/10/2002,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2003,all plots,01/10/2002,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2004,p test,26/09/2003,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2004,all plots,26/09/2003,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2004,all plots,30/03/2004,,sulphate of ammonia,,,2,agronomic fertilization process,21,% N,238,kg/ha,,,,,
Exhaustion Land,2004,all plots,29/04/2004,,nitrogen,,,2,agronomic fertilization process,34.5,% N,580,kg/ha,,,,,
Exhaustion Land,2004,all plots,25/05/2004,,nitrogen,,,2,agronomic fertilization process,34.5,% N,145,kg/ha,,,,,
Exhaustion Land,2004,p test,26/09/2003,,P basal as triple superphosphate,,"plots 2, 4, 6, 8 & 10",2,agronomic fertilization process,,,98,kg/ha,,,,,
Exhaustion Land,2004,all plots,26/09/2003,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2005,all plots,15/03/2005,,sulphate of ammonia,,,2,agronomic fertilization process,21,% N,238,kg/ha,,,,,
Exhaustion Land,2005,all plots,14/04/2005,,nitrogen,,,2,agronomic fertilization process,34.5,% N,580,kg/ha,,,,,
Exhaustion Land,2005,all plots,10/05/2005,,nitrogen,,,2,agronomic fertilization process,34.5,% N,145,kg/ha,,,,,
Exhaustion Land,2005,k test,29/09/2004,,P basal as triple superphosphate,,"plots 2, 4, 6, 8 & 10",2,agronomic fertilization process,,,98,kg/ha,,,,,
Exhaustion Land,2005,p test,29/09/2004,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2005,all plots,29/09/1957,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2005,all plots,29/09/2004,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2006,all plots,29/09/2005,,kieserite,,,2,agronomic fertilization process,17.7 ; 23.3,% Mg; % S,30,kg/ha,,,,,
Exhaustion Land,2006,all plots,13/03/2006,,sulphate of ammonia,,,2,agronomic fertilization process,21,% N,238,kg/ha,,,,,
Exhaustion Land,2006,all plots,18/04/2006,,nitrogen,,,2,agronomic fertilization process,34.5,% N,580,kg/ha,,,,,
Exhaustion Land,2006,all plots,17/05/2006,,nitrogen,,,2,agronomic fertilization process,34.5,% N,145,kg/ha,,,,,
Exhaustion Land,2006,p test,07/09/2005,,P basal as triple superphosphate,,"plots 2, 4, 6, 8 & 10",2,agronomic fertilization process,,,98,kg/ha,,,,,
Exhaustion Land,2006,all plots,27/09/2005,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2006,p test,28/09/2005,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2007,all plots,12/03/2007,,sulphate of ammonia,,,2,agronomic fertilization process,,,238,kg/ha,,,,,
Exhaustion Land,2007,k test,12/10/2006,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2007,k test,12/10/2006,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2007,k test,12/10/2006,,P basal as triple superphosphate,,"plots 02, 04, 06, 08 and 10",2,agronomic fertilization process,,,98,kg/ha,,,,,
Exhaustion Land,2007,all plots,12/10/2006,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2007,p test,12/10/2006,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2008,all plots,01/04/2008,,sulphate of ammonia,,,2,agronomic fertilization process,,,238,kg/ha,,,,,
Exhaustion Land,2008,k test,01/10/2007,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2008,k test,01/10/2007,,P basal as triple superphosphate,,"plots 02, 04, 06, 08 and 10",2,agronomic fertilization process,,,98,kg/ha,,,,,
Exhaustion Land,2008,k test,01/10/2007,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2008,all plots,01/10/2007,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,20,kgP/ha,98,kg/ha,,,,,
Exhaustion Land,2008,p test,01/10/2007,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2008,p test,06/10/2007,,applied chalk,,"plots 021, 022, 024, 061, 062, 063, 083, 102, 103, 104",2,liming process,2,t/ha,,,,,,,
Exhaustion Land,2008,p test,06/10/2007,,applied chalk,,"plots 011, 023, 042, 044, 054, 064,071, 082, 084",2,liming process,400,t/ha,,,,,,,
Exhaustion Land,2008,p test,06/10/2007,,applied chalk,,"plots 041, 043, 051, 081, 101",2,liming process,6,t/ha,,,,,,,
Exhaustion Land,2009,all plots,09/03/2009,,sulphate of ammonia,,,2,agronomic fertilization process,,,238,kg/ha,,,,,
Exhaustion Land,2009,all plots,25/03/2009,,kieserite,,,2,agronomic fertilization process,17.7 ; 23.3,% Mg; % S,80,kg/ha,,,,,
Exhaustion Land,2009,k test,30/09/2008,,P basal as triple superphosphate,,"plots 02, 04, 06, 08 and 10",2,agronomic fertilization process,,,75,kg/ha,,,,,
Exhaustion Land,2009,k test,30/09/2008,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2009,k test,30/09/2008,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2009,all plots,30/09/2008,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,15,kgP/ha,75,kg/ha,,,,,
Exhaustion Land,2009,p test,30/09/2008,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2010,all plots,29/09/2009,,Spread fertiliser,,,2,agronomic fertilization process,,,,,,,,,
Exhaustion Land,2010,all plots,19/03/2010,,sulphate of ammonia,,,2,agronomic fertilization process,,,238,kg/ha,,,,,
Exhaustion Land,2010,all plots,15/04/2010,,nitram,,agronomic fertilization process,2,agronomic fertilization process,,,580,kg/ha,,,,,
Exhaustion Land,2010,all plots,06/04/2010,,kieserite,,,2,agronomic fertilization process,17.7 ; 23.3,% Mg; % S,80,kg/ha,,,,,
Exhaustion Land,2010,all plots,19/05/2010,,nitram,,agronomic fertilization process,2,agronomic fertilization process,,,145,kg/ha,,,,,
Exhaustion Land,2010,k test,29/09/2009,,P basal as triple superphosphate,,"plots 02, 04, 06, 08 and 10",2,agronomic fertilization process,,,75,kg/ha,,,,,
Exhaustion Land,2010,k test,29/09/2009,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2010,k test,29/09/2009,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2010,all plots,29/09/2009,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,15,kgP/ha,75,kg/ha,,,,,
Exhaustion Land,2010,p test,29/09/2009,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2011,all plots,06/04/2011,,kieserite,,,2,agronomic fertilization process,17.7 ; 23.3,% Mg; % S,80,kg/ha,,,,,
Exhaustion Land,2011,all plots,14/04/2011,,sulphate of ammonia,,,2,agronomic fertilization process,,,238,kg/ha,,,,,
Exhaustion Land,2011,all plots,10/05/2011,,nitram,,,2,agronomic fertilization process,,,146,kg/ha,,,,,
Exhaustion Land,2011,all plots,13/04/2011,,nitram,,,2,agronomic fertilization process,,,580,kg/ha,,,,,
Exhaustion Land,2011,k test,07/10/2010,,P basal as triple superphosphate,,"plots 02, 04, 06, 08 and 10",2,agronomic fertilization process,,,75,kg/ha,,,,,
Exhaustion Land,2011,k test,07/10/2011,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2011,k test,07/10/2011,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2011,all plots,07/10/2010,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,15,kgP/ha,75,kg/ha,,,,,
Exhaustion Land,2011,p test,07/10/2010,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2012,all plots,29/09/2011,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,15,kgP/ha,75,kg/ha,,,,,
Exhaustion Land,2012,p test,29/09/2011,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2012,all plots,30/09/2011,,applied chalk,,"plots 022, 024, 074.",2,liming process,2,t/ha,,,,,,,
Exhaustion Land,2012,all plots,16/03/2012,,sulphate of ammonia,,,2,agronomic fertilization process,,,238,kg/ha,,,,,
Exhaustion Land,2012,all plots,30/09/2011,,applied chalk,,"plots 011, 023, 044, 061, 062, 063, 064, 071, 082, 083, 084, 103.",2,liming process,4,t/ha,,,,,,,
Exhaustion Land,2012,all plots,30/09/2011,,applied chalk,,"plots 021, 041, 042, 043, 051, 054, 081, 101, 102, 104.",2,liming process,6,t/ha,,,,,,,
Exhaustion Land,2012,k test,28/09/2012,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2012,k test,28/09/2012,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2012,all plots,28/09/2012,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,15,kgP/ha,75,kg/ha,,,,,
Exhaustion Land,2012,all plots,11/04/2012,,nitram,,,2,agronomic fertilization process,,,580,kg/ha,,,,,
Exhaustion Land,2012,all plots,17/05/2012,,nitram,,,2,agronomic fertilization process,,,145,kg/ha,,,,,
Exhaustion Land,2013,k test,28/09/2012,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2013,p test,28/09/2012,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2013,all plots,28/09/2012,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,15,kgP/ha,75,kg/ha,,,,,
Exhaustion Land,2013,all plots,11/03/2013,,kieserite,,,2,agronomic fertilization process,17.7 ; 23.3,% Mg; % S,80,kg/ha,,,,,
Exhaustion Land,2013,all plots,12/03/2013,,sulphate of ammonia,,,2,agronomic fertilization process,,,238,kg/ha,,,,,
Exhaustion Land,2013,all plots,25/04/2013,,nitram,,,2,agronomic fertilization process,,,580,kg/ha,,,,,
Exhaustion Land,2013,all plots,21/05/2013,,nitram,,,2,agronomic fertilization process,,,145,kg/ha,,,,,
Exhaustion Land,2013,k test,28/09/2012,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2014,k test,30/09/2013,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2014,k test,30/09/2013,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2014,p test,30/09/2013,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2014,all plots,30/09/2013,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,15,kgP/ha,75,kg/ha,,,,,
Exhaustion Land,2014,all plots,02/10/2013,,applied chalk,,"plots 013, 014, 041, 043, 051, 054, 072",2,liming process,2,t/ha,,,,,,,
Exhaustion Land,2014,all plots,02/10/2013,,applied chalk,,"plots 011, 012, 022, 023, 024, 031, 052, 053, 061, 062, 063, 064, 082, 083, 084, 101, 103",2,liming process,6,t/ha,,,,,,,
Exhaustion Land,2014,all plots,10/03/2014,,sulphate of ammonia,,,2,agronomic fertilization process,,,238,kg/ha,,,,,
Exhaustion Land,2014,all plots,13/05/2014,,nitram,,,2,agronomic fertilization process,,,145,kg/ha,,,,,
Exhaustion Land,2014,all plots,02/10/2013,,applied chalk,,"plots 021, 042, 044, 081, 071, 074, 091, 102, 104",2,liming process,4,t/ha,,,,,,,
Exhaustion Land,2014,all plots,09/04/2014,,kieserite,,,2,agronomic fertilization process,17.7 ; 23.3,% Mg; % S,80,kg/ha,,,,,
Exhaustion Land,2014,all plots,01/04/2014,,nitram,,,2,agronomic fertilization process,,,580,kg/ha,,,,,
Exhaustion Land,2015,all plots,02/10/2014,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094)",2,agronomic fertilization process,15,kgP/ha,75,kg/ha,,,,,
Exhaustion Land,2015,k test,02/10/2014,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2015,k test,02/10/2014,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2015,p test,02/10/2014,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2015,all plots,23/03/2015,,sulphate of ammonia,,,2,agronomic fertilization process,21,% N,238,kg/ha,,,,,
Exhaustion Land,2015,all plots,09/04/2015,,nitram,,winter wheat plots,2,agronomic fertilization process,34.5,% N,580,kg/ha,,,,,
Exhaustion Land,2015,all plots,16/04/2015,,kieserite,,,2,agronomic fertilization process,17.7 ; 23.3,% Mg; % S,80,kg/ha,,,,,
Exhaustion Land,2015,all plots,30/04/2015,,nitram,,winter wheat plots,2,agronomic fertilization process,34.5,% N,145,kg/ha,,,,,
Exhaustion Land,2016,all plots,04/04/2016,,nitram,,,2,agronomic fertilization process,34.5,% N,840,kg/ha,,,,,
Exhaustion Land,2016,all plots,01/10/2016,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094) and P Test 033",2,agronomic fertilization process,15,kgP/ha,75,kg/ha,,,,,
Exhaustion Land,2016,k test,01/10/2015,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2016,p test,01/10/2015,,muriate of potash,,,2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2016,k test,01/10/2015,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2016,p test,21/03/2016,,sulphate of ammonia,,,2,agronomic fertilization process,,,238,kg/ha,,,,,
Exhaustion Land,2016,p test,13/04/2016,,kieserite,,,2,agronomic fertilization process,17.7 ; 23.3,% Mg; % S,80,kg/ha,,,,,
Exhaustion Land,2017,all plots,26/09/2016,,triple superphosphate,,"all plots except P Test 04 sub plots (014, 034, 054, 074, 094) and P Test 033",2,agronomic fertilization process,15,kgP/ha,75,kg/ha,,,,,
Exhaustion Land,2017,k test,26/09/2016,,muriate of potash,,"all 03 sub plots (023, 043, 063, 083, 103)",2,agronomic fertilization process,62.3,kgK/ha,125,kg/ha,,,,,
Exhaustion Land,2017,k test,26/09/2016,,muriate of potash,,"all 04 plots (024, 044, 064, 084, 104)",2,agronomic fertilization process,124.5,kgK/ha,250,kg/ha,,,,,
Exhaustion Land,2017,all plots,21/03/2017,,kieserite,,,2,agronomic fertilization process,17.7 ; 23.3,% Mg; % S,80,kg/ha,,,,,
Exhaustion Land,2017,all plots,04/04/2017,,nitram,,,2,agronomic fertilization process,,,580,kg/ha,,,,,
Exhaustion Land,2017,all plots,05/05/2017,,nitram,,,2,agronomic fertilization process,34.5,% N,145,kg/ha,,,,,
Exhaustion Land,2017,all plots,14/03/2017,,sulphate of ammonia,,,2,agronomic fertilization process,21; 60,% N; % S,238,kg/ha,,,,,
Exhaustion Land,1974,all plots,26/03/1974,,nitrochalk,,,2,agronomic fertilization process,88,kgN/ha,,,,,,,combine drilled
