Experiment,year,section,new start date,new end date,operation,plots,flag,operation type,amount,unit,water,water unit,variety,dressing,machine,method
Exhaustion Land,1978,all plots,09/09/1978,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1978,all plots,28/09/1977,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1978,all plots,31/03/1978,,heavy spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1978,all plots,31/03/1978,,harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1978,all plots,31/03/1978,,seed sown,,1,seeding process,160,kg/ha,,,Julia,ethirimol,,
Exhaustion Land,1978,all plots,17/05/1978,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1978,all plots,26/05/1978,,"Dicamba, mecoprop, MCPA as Banlene plus at 4.9 l in 220 l/ha",,1,,,,,,,,,
Exhaustion Land,1978,all plots,26/05/1978,,tridemorph at 5.3 kg/ha in 220 l/ha,,1,,,,,,,,,
Exhaustion Land,1979,all plots,01/09/1979,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1979,all plots,15/12/1978,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1979,all plots,18/04/1979,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1979,all plots,18/04/1979,,seed sown,,1,seeding process,160,kg/ha,,,Julia,,,
Exhaustion Land,1979,all plots,17/05/1979,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1979,all plots,15/06/1979,,"bromoxynil, ioxynil as Oxytril CM at 1.4 kg/ha in 220 l/ha",,1,,,,,,,,,
Exhaustion Land,1979,all plots,18/06/1979,,tridemorph at 5.3 kg/ha in 220 l/ha,,1,,,,,,,,,
Exhaustion Land,1980,all plots,02/09/1980,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1980,all plots,27/09/1979,,glyphosate at 1.5 l/ha in 220 l/ha,,1,,,,,,,,,
Exhaustion Land,1980,all plots,07/11/1979,,applied chalk,,1,liming process,2.9,t/ha,,,,,,
Exhaustion Land,1980,all plots,26/11/1979,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1980,all plots,09/04/1980,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1980,all plots,09/04/1980,,seed sown,,1,seeding process,160,kg/ha,,,Georgie,,,
Exhaustion Land,1980,all plots,09/05/1980,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1980,all plots,09/06/1980,,"Mecoprop, bromoxynil, ioxynil, linuron, xylene as Springclene at 3.5 l in 250 l/ha",,1,,,,,,,,,
Exhaustion Land,1980,all plots,09/06/1980,,tridemorph at 5.3 kg/ha in 250 l/ha,,1,,,,,,,,,
Exhaustion Land,1981,all plots,05/12/1980,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1981,all plots,18/02/1981,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1981,all plots,18/02/1981,,seed sown,,1,seeding process,160,kg/ha,,,Georgie,,,
Exhaustion Land,1981,all plots,16/04/1981,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1981,all plots,30/05/1981,,"Dicamba, mecoprop, MCPA as Banlene plus at 5.0 l in 220 l/ha",,1,,,,,,,,,
Exhaustion Land,1981,all plots,30/05/1981,,tridemorph at 5.3 kg/ha in 220 l/ha,,1,,,,,,,,,
Exhaustion Land,1981,all plots,18/08/1981,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1982,all plots,27/10/1981,,glyphosate at 1.4 kg/ha in 250 l/ha,,1,,,,,,,,,
Exhaustion Land,1982,all plots,20/11/1981,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1982,all plots,28/03/1982,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1982,all plots,29/03/1982,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1982,all plots,30/03/1982,,seed sown,,1,seeding process,160,kg/ha,,,Georgie,ethirimol,,
Exhaustion Land,1982,all plots,26/05/1982,,"Dicamba mecoprop, MCPA as Banlene Plus at 5.0 l/ha in 250 l/ha",,1,,,,,,,,,
Exhaustion Land,1982,all plots,26/05/1982,,tridemorph at 5.3 kg/ha in 250 l/ha,,1,,,,,,,,,
Exhaustion Land,1982,all plots,16/08/1982,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1983,all plots,28/10/1982,,glyphosate 1.4 kg/ha in 250 l/ha,,1,,,,,,,,,
Exhaustion Land,1983,all plots,01/12/1982,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1983,all plots,10/03/1983,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1983,all plots,10/03/1983,,seed sown,,1,seeding process,160,kg/ha,,,Georgie,ethirimol,,
Exhaustion Land,1983,all plots,05/05/1983,,N treatments applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1983,all plots,08/06/1983,,"Dicamba, Mecoprop, MCPA as Herrisol at 5.0 l/ha in 500 l/ha",,1,,,,,,,,,
Exhaustion Land,1983,all plots,08/06/1983,,tridemorph at 5.2 kg/ha in 500 l/ha,,1,,,,,,,,,
Exhaustion Land,1984,all plots,12/09/1983,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1984,all plots,08/03/1984,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1984,all plots,10/03/1984,,seed sown,,1,seeding process,160,kg/ha,,,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1984,all plots,19/04/1984,,N treatments applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1984,all plots,25/05/1984,,"3, 6-dichloropicolinic acid at 0.07 kg/ha in 500 l/ha",,1,,,,,,,,,
Exhaustion Land,1984,all plots,25/05/1984,,bromoxynil at 0.34 kg/ha,,1,,,,,,,,,
Exhaustion Land,1984,all plots,25/05/1984,,mecoprop as CMPP at 4.2 l/ha,,1,,,,,,,,,
Exhaustion Land,1984,all plots,06/06/1984,,tridemorph at 5.2 kg/ha in 220 l/ha,,1,,,,,,,,,
Exhaustion Land,1984,all plots,17/08/1984,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1985,all plots,01/10/1984,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1985,all plots,18/03/1985,,seed sown,,1,seeding process,160,kg/ha,,,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1985,all plots,18/03/1985,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1985,all plots,18/04/1985,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1985,all plots,10/06/1985,,clopyralid at 0.10 kg/ha in 500l/ha,,1,,,,,,,,,
Exhaustion Land,1985,all plots,10/06/1985,,"bromoxynil, ioxynil as Deloxil at 0.7 l/ha",,1,,,,,,,,,
Exhaustion Land,1985,all plots,28/06/1985,,tridemorph at 5.2 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1985,all plots,23/08/1985,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1986,all plots,07/10/1985,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1986,all plots,28/04/1986,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1986,all plots,01/05/1986,,P applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1986,all plots,01/05/1986,,K applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1986,all plots,01/05/1986,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1986,all plots,02/05/1986,,seed sown,,1,seeding process,160,kg/ha,,,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1986,all plots,29/05/1986,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1986,all plots,02/06/1986,,clopyralid at 0.10 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1986,all plots,02/06/1986,,bromoxynil octanoate at 0.24 kg/ha,,1,,,,,,,,,
Exhaustion Land,1986,all plots,02/06/1986,,mecoprop at 2.1 kg/ha,,1,,,,,,,,,
Exhaustion Land,1986,all plots,02/06/1986,,tridemorph at 0.52 kg/ha,,1,,,,,,,,,
Exhaustion Land,1986,all plots,16/07/1986,,tridemorph at 0.52 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1986,all plots,29/08/1986,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1987,all plots,10/10/1986,,P applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1987,all plots,10/10/1986,,K applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1987,all plots,06/11/1986,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1987,all plots,19/03/1987,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1987,all plots,19/03/1987,,seed sown,,1,seeding process,160,kg/ha,,,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1987,all plots,23/04/1987,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1987,all plots,28/05/1987,,clopyralid at 0.10 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1987,all plots,28/05/1987,,bromoxynil at 0.34 kg/ha,,1,,,,,,,,,
Exhaustion Land,1987,all plots,28/05/1987,,mecoprop at 2.5 kg/ha,,1,,,,,,,,,
Exhaustion Land,1987,all plots,24/06/1987,,tridemorph at 0.52 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1987,all plots,21/08/1987,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1988,all plots,17/11/1987,,glyphosate at 1.4 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1988,all plots,11/12/1987,,P applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1988,all plots,11/12/1987,,K applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1988,all plots,14/12/1987,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1988,all plots,22/02/1988,,heavy spring-tine cultivated twice,,1,tillage process,,,,,,,,
Exhaustion Land,1988,all plots,23/02/1988,,heavy spring-tine cultivated twice,,1,tillage process,,,,,,,,
Exhaustion Land,1988,all plots,07/03/1988,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1988,all plots,07/03/1988,,seed sown,,1,seeding process,160,kg/ha,,,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1988,all plots,13/04/1988,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1988,all plots,11/05/1988,,clopyralid at 0.05 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1988,all plots,11/05/1988,,bromoxynil at 0.24 kg/ha,,1,,,,,,,,,
Exhaustion Land,1988,all plots,11/05/1988,,mecoprop at 2.4 kg/ha,,1,,,,,,,,,
Exhaustion Land,1988,all plots,17/05/1988,,Propiconazole at 0.12 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1988,all plots,17/05/1988,,tridemorph at 0.25 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1988,all plots,17/06/1988,,Propiconazole at 0.12 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1988,all plots,17/06/1988,,tridemorph at 0.25 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1988,all plots,15/08/1988,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1989,all plots,19/10/1988,,glyphosate at 1.4 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1989,all plots,10/11/1988,,P applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1989,all plots,10/11/1988,,K applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1989,all plots,14/12/1988,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1989,all plots,08/02/1989,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1989,all plots,08/02/1989,,seed sown,,1,seeding process,160,kg/ha,,,Triumph,"flutriafol, ethirimol and thiabendazole",,
Exhaustion Land,1989,all plots,08/05/1989,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1989,all plots,18/05/1989,,mecoprop at 1.6 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1989,all plots,18/05/1989,,ioxynil at 0.2 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1989,all plots,18/05/1989,,bromoxynil at 0.2 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1989,all plots,09/06/1989,,Propiconazole at 0.12 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1989,all plots,16/08/1989,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1990,all plots,01/12/1989,,glyphosate at 1.4 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1990,all plots,08/12/1989,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1990,all plots,09/03/1990,,spring-tine cultivated twice,,1,tillage process,,,,,,,,
Exhaustion Land,1990,all plots,09/03/1990,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1990,all plots,09/03/1990,,seed sown,,1,seeding process,160,kg/ha,,,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1990,all plots,11/04/1990,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1990,all plots,10/05/1990,,Demeton-s-methyl at 0.24 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1990,all plots,14/05/1990,,mecoprop at 1.6 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1990,all plots,14/05/1990,,ioxynil at 0.2 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1990,all plots,14/05/1990,,bromoxynil at 0.2 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1990,all plots,14/05/1990,,fenpropimorph at 0.75 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1990,all plots,03/08/1990,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1990,all plots,01/12/1990,,P applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1990,all plots,01/12/1990,,K applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1991,all plots,20/11/1990,,P applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1991,all plots,20/11/1990,,K applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1991,all plots,23/11/1990,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1991,all plots,25/03/1991,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1991,all plots,26/03/1991,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1991,all plots,26/03/1991,,seed sown,,1,seeding process,130,kg/ha,,,Triumph,triadimenol and fuberidazole,,
Exhaustion Land,1991,all plots,18/04/1991,,N applied,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1991,all plots,16/06/1991,,Fluroxypyr at 0.15 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1991,all plots,16/06/1991,,fenpropimorph at 0.38 kg/ha in 200 l/ha,,1,,,,,,,,,
Exhaustion Land,1991,all plots,29/08/1991,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1992,all plots,19/09/1991,,Sting at at 1.5 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1992,all plots,20/09/1991,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1992,all plots,20/09/1991,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1992,all plots,20/09/1991,,rolled,,1,tillage process,,,,,,,,
Exhaustion Land,1992,all plots,23/09/1991,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1992,all plots,23/09/1991,,drilled at 160 kg,,1,seeding process,,,,,Mercia,,,
Exhaustion Land,1992,all plots,23/09/1991,,rolled,,1,tillage process,,,,,,,,
Exhaustion Land,1992,all plots,14/04/1992,,34.5%N at 560 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1992,all plots,23/06/1992,,Radar at 0.50 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1992,all plots,23/06/1992,,Mistral at 0.50 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1992,all plots,31/07/1992,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1992,p test,18/09/1991,,P applied as triple superphosphate to treatment plots T,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1992,p test,18/09/1991,,Muriate of potash at 170 kg Residual N test,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1992,Residual N test,18/09/1991,,Triple superphosphate at 1420 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1992,Residual N test,23/09/1991,,Triple superphosphate at 710 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1993,all plots,16/09/1992,,Scythe at 2.0 l in 200 l $ Farmon Blue at 0.20 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1993,all plots,05/10/1992,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1993,all plots,09/10/1992,,disced,,1,tillage process,,,,,,,,
Exhaustion Land,1993,all plots,09/10/1992,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1993,all plots,09/10/1992,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1993,all plots,09/10/1992,,seed drilled,,1,seeding process,380,seeds/m2,,,Mercia,Cerevax,,
Exhaustion Land,1993,all plots,19/04/1993,,34.5%N at 560 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1993,all plots,13/05/1993,,Ally at 30 g in 200 l $ Cheetah R at 2.5 l in 200 l $ Starane 2 at 1.0 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1993,all plots,04/06/1993,,Halo at 2.0 l in 200 l $ Mistral at 0.50 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1993,p test,30/09/1992,,Muriate of potash at 167 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1993,p test,30/09/1992,,Triple superphosphate at 638 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1993,p test,16/08/1993,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1994,all plots,20/10/1993,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1994,all plots,22/10/1993,,spring-tine cultivated twice,,1,tillage process,,,,,,,,
Exhaustion Land,1994,all plots,22/10/1993,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1994,all plots,22/10/1993,,seed drilled,,1,seeding process,380,seeds/m2,,,Mercia,Cerevax,,
Exhaustion Land,1994,all plots,12/04/1994,,34.5%N at 568 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1994,all plots,09/05/1994,,Ally at 30 g in 200 l $ Cheetah per at 3.0 l in 200 l $ Starane 2 at 0.75 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1994,all plots,13/06/1994,,Halo at 2.0 l in 200 l $ Mallard 750 EC at 0.5 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1994,all plots,16/08/1994,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1994,all plots,17/06/1994,,Hostathion at 840 ml in 200 l,,1,,,,,,,,,
Exhaustion Land,1994,all plots,09/05/1994,,Halo at 2.0 l in 200 l $ New 5C Cycocel at 2.5 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1994,k test,15/10/1993,,Triple superphosphate at 319 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1994,p test,15/10/1993,,Muriate of potash at 167 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1995,k test,13/10/1994,,Muriate of potash at 167 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1995,k test,13/10/1994,,Triple superphosphate at 319 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1995,,21/08/1994,,straw baled,,1,baling process,,,,,,,,
Exhaustion Land,1995,,21/08/1994,,straw removed,,1,,,,,,,,,
Exhaustion Land,1995,,06/10/1994,,Roundup at 4.0 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1995,,14/10/1994,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1995,,17/10/1994,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1995,,18/10/1994,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1995,,18/10/1994,,seed drilled,,1,seeding process,380,seeds/m2,,,Mercia,Rappor,,
Exhaustion Land,1995,,24/11/1994,,Alpha Isoproturon 500 at 3.0 l in 200 l $ Stomp 400 at 3.3 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1995,,13/04/1995,,34.5%N at 556 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1995,,16/06/1995,,Halo at 2.0 l in 300 l $ Patrol at 0.5 l in 300 l,,1,,,,,,,,,
Exhaustion Land,1995,,29/06/1995,,Pirimicarb 50 DG at 280 g in 200 l,,1,,,,,,,,,
Exhaustion Land,1995,,03/08/1995,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1996,all plots,11/08/1995,,straw baled,,1,baling process,,,,,,,,
Exhaustion Land,1996,all plots,25/09/1995,,ploughed and furrow pressed,,1,tillage process,,,,,,,,
Exhaustion Land,1996,all plots,29/09/1995,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1996,all plots,29/09/1995,,seed drilled,,1,seeding process,380,seeds/m2,,,Hereward,Panoctine,,
Exhaustion Land,1996,all plots,15/04/1996,,34.5%N at 580 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1996,all plots,26/04/1996,,Ally at 30 g in 200 l $ Cheetah per at 1.25 l in 200 l $ Barclay Holdup at 2.3 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1996,all plots,06/06/1996,,Monicle at 1.0 l in 320 l,,1,,,,,,,,,
Exhaustion Land,1996,all plots,08/07/1996,,Pulled wild oats by hand.,,1,,,,,,,,,
Exhaustion Land,1996,all plots,15/08/1996,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1996,k test,18/09/1995,,Muriate of potash at 171 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1996,k test,18/09/1995,,Triple superphosphate at 319 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1997,all plots,05/10/1996,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1997,all plots,08/10/1996,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1997,all plots,08/10/1996,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1997,all plots,08/10/1996,,seed drilled,,1,seeding process,380,seeds per m2,,,Hereward,Beret Gold,,
Exhaustion Land,1997,all plots,17/03/1997,,Topik at 1.25 l in 200 l $ Sprayprover at 1.0 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1997,all plots,07/04/1997,,34.5%N at 556 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1997,all plots,16/04/1997,,meadow Shield at 0.35 l in 200 l $ Deloxil at 1.5 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1997,all plots,30/05/1997,,Folicur at 0.5 l in 300 l $ Winter at 0.5 l in 300 l,,1,,,,,,,,,
Exhaustion Land,1997,all plots,14/08/1997,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1997,p test,26/09/1996,,Muriate of potash at 167 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1997,p test,26/09/1996,,Triple superphosphate at 319 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1998,all plots,23/10/1997,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1998,all plots,24/10/1997,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1998,all plots,24/10/1997,,seed drilled,,1,seeding process,380,seeds/m2,,,Mercia,Sibutol,,
Exhaustion Land,1998,all plots,24/03/1998,,34.5%N at 557 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1998,all plots,09/05/1998,,Opus at 0.7 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1998,all plots,28/05/1998,,Opus at 0.7 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1998,all plots,15/06/1998,,Bavistin DF at 0.5 kg in 100 l $ Folicur at 0.5 l in 100 l,,1,,,,,,,,,
Exhaustion Land,1998,all plots,06/08/1998,,Alpha glyphosate at 3.0 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1998,all plots,18/08/1998,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1998,all plots,05/02/1998,,Amazon at 1.0 l in 200 l $ Chiltern Cropoil at 1.0 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1998,k test,15/10/1997,,Muriate of potash at 167 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1998,k test,15/10/1997,,Triple superphosphate at 319 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1999,all plots,07/10/1998,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,1999,all plots,09/10/1998,,spring-tine cultivated,,1,tillage process,,,,,,,,
Exhaustion Land,1999,all plots,09/10/1998,,rotary harrowed,,1,tillage process,,,,,,,,
Exhaustion Land,1999,all plots,09/10/1998,,seed drilled,,1,seeding process,380,seeds/m2,,,Hereward,Beret Gold,,
Exhaustion Land,1999,all plots,12/10/1998,,hay at 7.5 kg,,1,,,,,,,,,
Exhaustion Land,1999,all plots,15/03/1999,,menazon at 1.0 l in 200 l $ Isoguard at 2.0 l in 200 l $ Cropoil at 1.0 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1999,all plots,14/04/1999,,34.5%N at 580 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1999,all plots,01/05/1999,,Opus at 0.7 l in 200 l,,1,,,,,,,,,
Exhaustion Land,1999,all plots,01/06/1999,,Folicur at 1.0 l in 100 l $ Sipcam UK Rover 500 at 1.0 l in 100 l,,1,,,,,,,,,
Exhaustion Land,1999,all plots,25/06/1999,,Policur at 0.25 l in 100 l,,1,,,,,,,,,
Exhaustion Land,1999,all plots,03/08/1999,,combine harvested,,1,harvesting process,,,,,,,,
Exhaustion Land,1999,k test,22/09/1998,,Triple superphosphate at 107 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,1999,k test,23/09/1998,,Muriate of potash at 167 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,2000,all plots,10/09/1999,,Triple superphosphate at 300 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,2000,all plots,12/09/1999,,ploughed,,1,tillage process,,,,,,,,
Exhaustion Land,2000,all plots,15/09/1999,,combination drilled,,1,seeding process,300,seeds/m2,,,Hereward,Sibutol,Accord drill,
Exhaustion Land,2000,all plots,14/12/1999,,Lexus 50 DF at 20 g in 200 l $ Stomp 400 SC at 2.5 l in 200 l $ Toppel 10 at 250 ml in 200 l,,1,,,,,,,,,
Exhaustion Land,2000,all plots,03/05/2000,,34.5%N at 580 kg,,1,agronomic fertilization process,,,,,,,,
Exhaustion Land,2000,all plots,09/05/2000,,Opus at 0.7 l in 100 l,,1,,,,,,,,,
Exhaustion Land,2000,all plots,24/05/2000,,Amistar at 0.8 l in 100 l $ Folicur at 0.75 l in 100 l,,1,,,,,,,,,
Exhaustion Land,2000,all plots,17/07/2000,,hand rogued wild oats,,1,hand picking process,,,,,,,,
Exhaustion Land,2000,all plots,12/08/2000,,combine harvested,,1,harvesting process,,,,,,,,
