experiment,year,start date,end date,plot,operation,flag,intensity,operation_type,amount,unit,water,water_unit,crop,variety,dressing,machine
R/CS/437,1996,25-May-1995,,"SETDESTR (PG), (PC)",ploughed,1,,tillage process,,,,,,,,
R/CS/437,1996,26-May-1995,,BETDESTR (MP),heavy springtine cultivated to 10 cm.,1,1,tillage process,,,,,,,,
R/CS/437,1996,03-Jul-1995,,SETDESTR (PC),heavy springtine cultivated to 10 cm.,1,1,tillage process,,,,,,,,
R/CS/437,1996,03-Jul-1995,,SETDESTR (MP),topped,1,,mowing process,,,,,,,,
R/CS/437,1996,03-Jul-1995,,SETDESTR (MP),heavy springtine cultivated,1,2,tillage process,,,,,,,,
R/CS/437,1996,31-Jul-1995,,"SETDESTR (MP), (HP), (-P)",Roundup Biactive,1,,chemical pest control process,4.0,l/ha,200,l/ha,,,,
R/CS/437,1996,16-Aug-1995,,,PK as (0:20:32),1,,agronomic fertilization process,1407,kg/ha,,,,,,
R/CS/437,1996,22-Aug-1995,,"SETDESTR (MP), (HP), (-P)",ploughed,1,,tillage process,,,,,,,,
R/CS/437,1996,06-Sep-1995,,CROP R,rotary harrowed,1,1,tillage process,,,,,,,,
R/CS/437,1996,06-Sep-1995,,CROP R,seed drilled,1,,seeding process,120,seeds/m2,,,,Apex, Lindex-Plus FS,drilled
R/CS/437,1996,26-Sep-1995,,CROP W,rotary harrowed,1,1,tillage process,,,,,,,,
R/CS/437,1996,26-Sep-1995,,CROP W,seed drilled,1,,seeding process,380,seeds/m2,,,,Genesis, Sibutol,drilled
R/CS/437,1996,27-Sep-1995,,,Draza,1,,chemical pest control process,5.5,kg/ha,,,,,,
R/CS/437,1996,05-Oct-1995,,CROP R,Butisan S,1,,chemical pest control process,1.5,l/ha,200,l/ha,,,,
R/CS/437,1996,05-Oct-1995,,CROP R,Cyperkill 10,1,,chemical pest control process,250,ml/ha,200,l/ha,,,,
R/CS/437,1996,05-Oct-1995,,CROP R,Agral,1,,chemical pest control process,200,ml/ha,200,l/ha,,,,
R/CS/437,1996,20-Nov-1995,,CROP W,Panther,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/CS/437,1996,02-Feb-1996,,CROP R,Benazalox,1,,chemical pest control process,2.3,kg/ha,200,l/ha,,,,
R/CS/437,1996,02-Feb-1996,,CROP W,Birlane 24,1,,chemical pest control process,2.8,l/ha,200,l/ha,,,,
R/CS/437,1996,28-Feb-1996,,"CROP R, NITROGEN N",34.5% N,1,,agronomic fertilization process,174,kg/ha,,,,,,
R/CS/437,1996,08-Mar-1996,,"CROP W, NITROGEN N",34.5% N,1,,agronomic fertilization process,116,kg/ha,,,,,,
R/CS/437,1996,09-Apr-1996,,"CROP R, NITROGEN N",34.5% N,1,,agronomic fertilization process,290,kg/ha,,,,,,
R/CS/437,1996,11-Apr-1996,,"CROP W, NITROGEN N",34.5% N,1,,agronomic fertilization process,348,kg/ha,,,,,,
R/CS/437,1996,11-Apr-1996,,CROP R,Folicur,1,,chemical pest control process,0.5,l/ha,300,l/ha,,,,
R/CS/437,1996,25-Apr-1996,,CROP R,Decis,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/CS/437,1996,30-Apr-1996,,CROP W,Starane 2,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
R/CS/437,1996,30-Apr-1996,,CROP W,barley Holdup,1,,chemical pest control process,2.3,l/ha,200,l/ha,,,,
R/CS/437,1996,13-Jun-1996,,CROP W,Alto 100 SL,1,,chemical pest control process,0.6,l/ha,300,l/ha,,,,
R/CS/437,1996,13-Jun-1996,,CROP W,Mallard 750 EC,1,,chemical pest control process,0.4,l/ha,300,l/ha,,,,
R/CS/437,1996,19-Jul-1996,,CROP R,Standon Diquat,1,,chemical pest control process,3.0,l/ha,390,l/ha,,,,
R/CS/437,1996,19-Jul-1996,,CROP R,Vassgro Spreader,1,,chemical pest control process,390,ml/ha,390,l/ha,,,,
R/CS/437,1996,31-Jul-1996,,CROP R,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/437,1996,06-Aug-1996,,CROP W,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/437,1996,,,,Soil and plant samples were taken in November and March for nitrogen content. Weed counts were made in November and March. Wheat was sampled in April and July to assess root and stem base diseases. grain quality was assessed at harvest. 93,1,,comment,,,,,,,,
R/CS/437,1997,23-Aug-1996,,,ploughed,1,,tillage process,,,,,,,,
R/CS/437,1997,23-Aug-1996,,,furrow pressed,1,1,tillage process,,,,,,,,
R/CS/437,1997,10-Oct-1996,,,Roundup,1,,chemical pest control process,4.0,l/ha,200,l/ha,,,,
R/CS/437,1997,16-Oct-1996,,,springtine cultivated,1,1,tillage process,,,,,,,,
R/CS/437,1997,16-Oct-1996,,,rotary harrowed,1,1,tillage process,,,,,,,,
R/CS/437,1997,16-Oct-1996,,,seed drilled,1,,seeding process,380,seeds/m2,,,,Genesis, Sibutol,drilled
R/CS/437,1997,16-Oct-1996,,,rolled,1,1,tillage process,,,,,,,,
R/CS/437,1997,27-Jan-1997,,,Panther,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/CS/437,1997,10-Mar-1997,,,34.5% N,1,,agronomic fertilization process,118,kg/ha,,,,,,
R/CS/437,1997,01-Apr-1997,,,34.5% N,1,,agronomic fertilization process,320,kg/ha,,,,,,
R/CS/437,1997,26-May-1997,,,Folicur,1,,chemical pest control process,0.5,l/ha,300,l/ha,,,,
R/CS/437,1997,26-May-1997,,,Winter,1,,chemical pest control process,0.5,l/ha,300,l/ha,,,,
R/CS/437,1997,11-Aug-1997,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
W/CS/381,1992,19-Aug-1991,,"LANDTRT FO RA LN, RYE LN AND TUMBDN LN AND EXTRA",disced harrowed to 5 cm depth,1,1,tillage process,,,,,,,,
W/CS/381,1992,19-Aug-1991,,LANDTRT FO RA LN AND EXTRA EX PR LN,seed sown,1,,seeding process,30,kg/ha,,,,Ember,,
W/CS/381,1992,19-Aug-1991,,LANDTRT AUTUMN LN AND EXTRA EX TD LN,seed sown,1,,seeding process,50,kg/ha,,,winter barley,Magie,,
W/CS/381,1992,19-Aug-1991,,LANDTRT RED LN AND EXTRA EX RY LN,Amando ,1,,chemical pest control process,180,kg/ha,,,,,,
W/CS/381,1992,20-Aug-1991,,"LANDTRT FO RA LN, RED LN, AUTUMN LN AND EXTRA",harrowed,1,1,tillage process,,,,,,,,
W/CS/381,1992,20-Aug-1991,,"LANDTRT FO RA LN, RED LN, AUTUMN LN AND EXTRA",rolled,1,1,tillage process,,,,,,,,
W/CS/381,1992,12-Sep-1991,,LANDTRT FO RA LN AND FALLOW LN AND EXTRA EX FR LN,Pilot,1,,chemical pest control process,0.15,l/ha,200,l/ha,,,,
W/CS/381,1992,08-Oct-1991,,LANDTRT FALLOW LN,ploughed,1,,tillage process,,,,,,,,
W/CS/381,1992,01-Apr-1992,,EXTRA,Gramoxone 100,1,,chemical pest control process,4.0,l/ha,200,l/ha,,,,
W/CS/381,1992,13-Apr-1992,,EXTRA,seed drilled,1,,seeding process,52,kg/ha,,,,Antares, Prelude 20LF,drilled
W/CS/381,1992,13-Apr-1992,,"LANDTRT FO RA LN, RED LN, TUMBDN LN, STUBL LN",ploughed,1,,tillage process,,,,,,,,
W/CS/381,1992,14-Apr-1992,,LANDTRT,rotary cultivated with crumbler attached,1,1,tillage process,,,,,,,,
W/CS/381,1992,14-Apr-1992,,LANDTRT,seed drilled,1,,seeding process,52,kg/ha,,,,Antares, Prelude 20LF,drilled
W/CS/381,1992,22-Apr-1992,,,harrowed lightly,1,1,tillage process,,,,,,,,
W/CS/381,1992,18-May-1992,,N 75,27% N,1,,agronomic fertilization process,75,kgN/ha,,,,,,
W/CS/381,1992,08-Jun-1992,,,Ally,1,,chemical pest control process,0.03,kg/ha,200,l/ha,,,,
W/CS/381,1992,29-Aug-1992,,,Reglone,1,,chemical pest control process,3.0,l/ha,300,l/ha,,,,
W/CS/381,1992,29-Aug-1992,,,Vassgro Spreader,1,,chemical pest control process,0.30,l/ha,300,l/ha,,,,
W/CS/381,1992,29-Sep-1992,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
W/CS/381,1992,,,,"1990 s. barley, 1991 w. barley.",1,,previous cropping,,,,,,,,
W/CS/381,1992,,,,Plant samples of cover crops were taken for growth analysis in autumn and spring. seed was sampled for growth analysis and disease incidence. 96,1,,comment,,,,,,,,
W/CS/381,1993,06-Oct-1992,,,ploughed,1,,tillage process,,,,,,,,
W/CS/381,1993,12-Oct-1992,,,rotary harrowed,1,1,tillage process,,,,,,,,
W/CS/381,1993,12-Oct-1992,,,seed drilled,1,,seeding process,380,seeds/m2,,,,Puffin, Cerevax extra,drilled
W/CS/381,1993,15-Mar-1993,,,34.5% N,1,,agronomic fertilization process,120,kg/ha,,,,,,
W/CS/381,1993,15-Apr-1993,,,Ally,1,,chemical pest control process,30,kg/ha,200,l/ha,,,,
W/CS/381,1993,15-Apr-1993,,,Deloxil,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
W/CS/381,1993,30-Apr-1993,,,34.5% N,1,,agronomic fertilization process,350,kg/ha,,,,,,
W/CS/381,1993,01-Jun-1993,,,Mistral,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
W/CS/381,1993,01-Jun-1993,,,Bayleton,1,,chemical pest control process,0.5,kg/ha,200,l/ha,,,,
W/CS/381,1993,03-Aug-1993,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
W/CS/381,1993,,,,"Crop samples were taken at harvest to determine ear numbers, thousand grain weights and nitrogen content.",1,,comment,,,,,,,,
W/CS/386,1993,19-Aug-1992,,"LANDTRT FO RA SB, PHACL SB, RYGRS SB, RED SB, RY+MU SB, AUTUMN SB",cultivated to 5 cm,1,2,tillage process,,,,,,,,Bomford Dynadrive
W/CS/386,1993,19-Aug-1992,,LAND TRT FO RA SB,seed broadcast,1,,seeding process,30,kg/ha,,,,Ember,,broadcast
W/CS/386,1993,19-Aug-1992,,LANDTRT RYGRS SB,seed broadcast,1,,seeding process,25,kg/ha,,,perennial grass,,,broadcast
W/CS/386,1993,19-Aug-1992,,LANDTRT PHACL SB,seed broadcast,1,,seeding process,30,kg/ha,,,phacelia,,,broadcast
W/CS/386,1993,19-Aug-1992,,LANDTRT RY+MU SB,seed broadcast with mustard,1,,seeding process,90,kg/ha,,,rye,,,broadcast
W/CS/386,1993,19-Aug-1992,,LANDTRT RY+MU SB,seed broadcast with rye,1,,seeding process,15,kg/ha,,,white mustard,,,broadcast
W/CS/386,1993,19-Aug-1992,,LAND TRT RYE SB,seed broadcast,1,,seeding process,180,kg/ha,,,,Amando,,broadcast
W/CS/386,1993,19-Aug-1992,,LAND TRT TUMBDN SB,seed broadcast,1,,seeding process,50,kg/ha,,,,Beaver,,broadcast
W/CS/386,1993,19-Aug-1992,,LANDTRT MUSTD SB,seed broadcast,1,,seeding process,30,kg/ha,,,winter mustard,,,broadcast
W/CS/386,1993,14-Sep-1992,,LANDTRT FALLOW,ploughed,1,,tillage process,,,,,,,,
W/CS/386,1993,14-Sep-1992,,EXTRA W BARLEY,ploughed,1,,tillage process,,,,,,,,
W/CS/386,1993,14-Sep-1992,,LANDTRT FALLOW,rotary harrowed,1,1,tillage process,,,,,,,,
W/CS/386,1993,16-Sep-1992,,EXTRA W BARLEY,rotary harrowed,1,1,tillage process,,,,,,,,
W/CS/386,1993,16-Sep-1992,,EXTRA W BARLEY,seed drilled,1,,seeding process,340,seeds/m2,,,,Puffin, Cerevax extra,drilled
W/CS/386,1993,10-Mar-1993,,LANDTRT,ploughed,1,,tillage process,,,,,,,,
W/CS/386,1993,10-Mar-1993,,LANDTRT,rolled,1,1,tillage process,,,,,,,,
W/CS/386,1993,12-Mar-1993,,LANDTRT,all plots rotary harrowed,1,1,tillage process,,,,,,,,
W/CS/386,1993,12-Mar-1993,,LANDTRT,seed drilled,1,,seeding process,350,seeds/m2,,,,Alexis, Cerevax extra,drilled
W/CS/386,1993,06-Apr-1993,,N EXTRA 150,27.5% N,1,,agronomic fertilization process,545,kg/ha,,,,,,
W/CS/386,1993,08-Apr-1993,,N 75,27.5% N,1,,agronomic fertilization process,273,kg/ha,,,,,,
W/CS/386,1993,22-Jun-1993,,LANDTRT,all plots sprayed Dorin,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
W/CS/386,1993,16-Aug-1993,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
W/CS/386,1993,,,,The tumbledown fallow was given 50kg of seed from the previous w. wheat crop to ensure volunteers.,1,,comment,,,,,,,,
W/CS/386,1993,,,,"grass 1991, w. wheat 1992.",1,,previous cropping,,,,,,,,
W/CS/386,1993,,,,"In November and March crop samples were taken to measure plant Cultivations, dry weights and nitrogen content. At harvest ear numbers and thousand grain weights were assessed.",1,,comment,,,,,,,,
W/CS/386,1993,,,,"In autumn, Winter and spring soil and soil Winter samples were taken for N analysis.",1,,comment,,,,,,,,
W/CS/386,1993,,,,EXTRA W barley plots were not harvested. 100,1,,comment,,,,,,,,
W/CS/386,1994,24-Aug-1993,,,deep tine cultivated.,1,1,tillage process,,,,,,,,
W/CS/386,1994,11-Sep-1993,,,Dolomite,1,,liming process,7.5,t/ha,,,,,,
W/CS/386,1994,15-Sep-1993,,,ploughed,1,,tillage process,,,,,,,,
W/CS/386,1994,16-Oct-1993,,,rotary harrowed,1,1,tillage process,,,,,,,,
W/CS/386,1994,16-Oct-1993,,,seed drilled,1,,seeding process,350,seeds/m2,,,,Puffin, Panoctine Plus,drilled
W/CS/386,1994,14-Apr-1994,,,34.5% N,1,,agronomic fertilization process,464,kg/ha,,,,,,
W/CS/386,1994,01-May-1994,,,Oxytril CM,1,,chemical pest control process,1.5,l/ha,200,l/ha,,,,
W/CS/386,1994,01-May-1994,,,Duplosan New System CMPP,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
W/CS/386,1994,01-May-1994,,,Punch C,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
W/CS/386,1994,29-May-1994,,,Radar,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
W/CS/386,1994,29-May-1994,,,Mistral,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
W/CS/386,1994,26-Jul-1994,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
W/M/1,1995,08-Aug-1994,,"SOWING BC, BOV CROP BW",seed broadcast,1,,seeding process,180,kg/ha,,,,Puffin,,broadcast
W/M/1,1995,08-Aug-1994,,"SOWING BC, BOV CROP FR",seed broadcast,1,,seeding process,30,kg/ha,,,,Ember,,broadcast
W/M/1,1995,15-Aug-1994,,,wheat combine harvested,1,,harvesting process,,,,,,,,combine harvester
W/M/1,1995,15-Aug-1994,,,straw chopped,1,,residue management process,,,,,,,,
W/M/1,1995,18-Aug-1994,,SOWING DC,disced,1,,tillage process,,,,,,,,
W/M/1,1995,18-Aug-1994,,SOWING RC,rotary cultivated,1,1,tillage process,,,,,,,,
W/M/1,1995,18-Aug-1994,,"SOWING DC, RC, DD, BOV CROP BW",Puffin sown,1,,chemical pest control process,180,kg/ha,,,,,,
W/M/1,1995,18-Aug-1994,,"SOWING DC, RC, DD, BOV CROP FR",seed sown,1,,seeding process,30,kg/ha,,,,Ember,,
W/M/1,1995,18-Aug-1994,,"SOWING DC, RC, BOV CROP BW, FR",rolled,1,1,tillage process,,,,,,,,
W/M/1,1995,07-Sep-1994,,,Draza,1,,chemical pest control process,5.5,kg/ha,,,,,,
W/M/1,1995,24-Nov-1994,,BOV CROP FR,Draza,1,,chemical pest control process,5.5,kg/ha,,,,,,
W/M/1,1995,08-Apr-1995,,,ploughed,1,,tillage process,,,,,,,,
W/M/1,1995,08-Apr-1995,,,rolled,1,1,tillage process,,,,,,,,
W/M/1,1995,11-Apr-1995,,,rotary harrowed,1,1,tillage process,,,,,,,,
W/M/1,1995,11-Apr-1995,,,seed drilled,1,,seeding process,600,seeds/m2,,,,Antares, Prelude 20LF,drilled
W/M/1,1995,13-Apr-1995,,,rolled,1,1,tillage process,,,,,,,,
W/M/1,1995,05-May-1995,,"N N2, N EXTRA N2",27% N,1,,agronomic fertilization process,278,kg/ha,,,,,,
W/M/1,1995,02-Jun-1995,,,Ally,1,,chemical pest control process,30,kg/ha,200,l/ha,,,,
W/M/1,1995,02-Jun-1995,,,Fastac,1,,chemical pest control process,0.10,l/ha,300,l/ha,,,,
W/M/1,1995,22-Sep-1995,,,combine harvested,1,,harvesting process,,,,,,,,combine harvester
W/M/1,1995,,,,"S. rape 1993, w. wheat 1994.",1,,previous cropping,,,,,,,,
W/M/1,1995,,,,"Dry matter, plant numbers and nitrogen content in the cover crops were measured in autumn. Dry matter and nitrogen content was also measured in spring. At harvest dry matter, nitrogen content, harvest index, oil content and thousand grain weights were measured in the seed.",1,,comment,,,,,,,,
R/CS/504,1999,19-Aug-1998,,,shakerated,1,,tillage process,,,,,,,,
R/CS/504,1999,20-Aug-1998,21-Aug-1998,,ploughed,1,,tillage process,,,,,,,,
R/CS/504,1999,27-Aug-1998,,RAW,seed combination drilled,1,,seeding process,120,seeds/m2,,,,Apex,Lindex-Plus FS,Accord drill
R/CS/504,1999,29-Aug-1998,,,Hardy,1,,chemical pest control process,7.5,kg/ha,,,,,,
R/CS/504,1999,07-Sep-1998,,LP,rolled,1,1,tillage process,,,,,,,,
R/CS/504,1999,07-Sep-1998,,LP,seed combination drilled,1,,seeding process,50,seeds/m2,,,,DTN 20,untreated,Accord drill
R/CS/504,1999,07-Sep-1998,,LP,Spannit,1,,chemical pest control process,1.5,l/ha,220,l/ha,,,,
R/CS/504,1999,11-Sep-1998,,LP,Hardy,1,,chemical pest control process,7.5,kg/ha,,,,,,
R/CS/504,1999,16-Sep-1998,,,Hardy,1,,chemical pest control process,7.5,kg/ha,,,,,,
R/CS/504,1999,17-Sep-1998,,RAW,Katamaran,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/CS/504,1999,17-Sep-1998,,RAW,Decis,1,,chemical pest control process,250,ml/ha,200,l/ha,,,,
R/CS/504,1999,21-Sep-1998,,WW,seed combination drilled,1,,seeding process,380,seeds/m2,,,,Hereward,Beret Gold,Accord drill
R/CS/504,1999,25-Sep-1998,,RAW,34.5% N,1,,agronomic fertilization process,120,kg/ha,,,,,,
R/CS/504,1999,12-Oct-1998,,LNW,seed combination drilled,1,,seeding process,950,seeds/m2,,,,Oliver,Prelude 20 LF,
R/CS/504,1999,13-Oct-1998,,WW,seed combination drilled,1,,seeding process,380,seeds/m2,,,,Hereward,Sibutol,Accord drill
R/CS/504,1999,13-Oct-1998,,,Hardy,1,,chemical pest control process,7.5,kg/ha,,,,,,
R/CS/504,1999,15-Oct-1998,,BEW,seed drilled,1,,seeding process,25,seeds/m2,,,winter beans,Clipper,recleaned,Fiona drill
R/CS/504,1999,15-Oct-1998,,PEW,seed drilled,1,,seeding process,100,seeds/m2,,,,Victor,Hy-TL and Rhodoman,Fiona drill
R/CS/504,1999,16-Oct-1998,,OW,seed combination drilled,1,,seeding process,350,seeds/m2,,,,Gerald,Sibutol,Accord drill
R/CS/504,1999,16-Oct-1998,,LP,Stomp 400 SC,1,,chemical pest control process,5.0,l/ha,220,l/ha,,,,
R/CS/504,1999,16-Oct-1998,,LP,Decis,7,,chemical pest control process,300,ml/ha,220,l/ha,,,,
R/CS/504,1999,19-Oct-1998,,PEW,Opogard 500 SC,1,,chemical pest control process,3.4,l/ha,220,l/ha,,,,
R/CS/504,1999,19-Oct-1998,,BEW,Gesatop 500 SC,1,,chemical pest control process,2.0,l/ha,220,l/ha,,,,
R/CS/504,1999,19-Oct-1998,,BEW,Kerb 50 W,1,,chemical pest control process,1.7,kg/ha,220,l/ha,,,,
R/CS/504,1999,04-Dec-1998,,RAW,Punch C,1,,chemical pest control process,0.4,l/ha,200,l/ha,,,,
R/CS/504,1999,04-Dec-1998,,RAW,Stefes Cypermethrin 2,1,,chemical pest control process,250,ml/ha,200,l/ha,,,,
R/CS/504,1999,07-Dec-1998,,RAW,Laser,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/CS/504,1999,07-Dec-1998,,RAW,Cropoil,1,,chemical pest control process,2.0,l/ha,200,l/ha,,,,
R/CS/504,1999,16-Dec-1998,,,Draza,1,,chemical pest control process,5.5,kg/ha,,,,,,
R/CS/504,1999,29-Jan-1999,,"LNW, LP, PEW",Laser,1,,chemical pest control process,1.0,l/ha,220,l/ha,,,,
R/CS/504,1999,29-Jan-1999,,"LNW, LP, PEW",Cropoil,1,,chemical pest control process,2.0,l/ha,220,l/ha,,,,
R/CS/504,1999,10-Feb-1999,,RAW,"34.5% N northern 5.0 m of (OW) also earthed, in error",1,,agronomic fertilization process,300,kg/ha,,,,,,
R/CS/504,1999,09-Mar-1999,,WW,Isoguard,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
R/CS/504,1999,09-Mar-1999,,WW,Unite A,1,,chemical pest control process,0.125,l/ha,200,l/ha,,,,
R/CS/504,1999,09-Mar-1999,,WW,Unite B,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
R/CS/504,1999,09-Mar-1999,,WW,Cropoil,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
R/CS/504,1999,15-Mar-1999,,RAW,Punch C,1,,chemical pest control process,0.4,l/ha,200,l/ha,,,,
R/CS/504,1999,16-Mar-1999,,WW,34.5% N,1,,agronomic fertilization process,145,kg/ha,,,,,,
R/CS/504,1999,17-Mar-1999,,LP,Folicur,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/CS/504,1999,17-Mar-1999,,LP,Rovral fallow,1,,chemical pest control process,1.0,l/ha,200,l/ha,,,,
R/CS/504,1999,23-Mar-1999,,RAW,34.5% N,1,,agronomic fertilization process,300,kg/ha,,,,,,
R/CS/504,1999,26-Mar-1999,,LNW,34.5% N,1,,agronomic fertilization process,348,kg/ha,,,,,,
R/CS/504,1999,09-Apr-1999,,OW,34.5% N,1,,agronomic fertilization process,145,kg/ha,,,,,,
R/CS/504,1999,23-Apr-1999,,WW,34.5% N,1,,agronomic fertilization process,435,kg/ha,,,,,,
R/CS/504,1999,27-Apr-1999,,OW,34.5% N,1,,agronomic fertilization process,145,kg/ha,,,,,,
R/CS/504,1999,29-Apr-1999,,RAW,Bavistin DF,1,,chemical pest control process,1.0,kg/ha,200,l/ha,,,,
R/CS/504,1999,29-Apr-1999,,RAW,Ronilan FL,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/CS/504,1999,29-Apr-1999,,RAW,Hallmark,1,,chemical pest control process,100,ml/ha,200,l/ha,,,,
R/CS/504,1999,30-Apr-1999,,LNW,Ally,1,,chemical pest control process,20,kg/ha,200,l/ha,,,,
R/CS/504,1999,30-Apr-1999,,LNW,Eagle,1,,chemical pest control process,30,kg/ha,220,l/ha,,,,
R/CS/504,1999,30-Apr-1999,,BEW,Compass,1,,chemical pest control process,3.0,l/ha,220,l/ha,,,,
R/CS/504,1999,19-May-1999,,BEW,Bavistin DF,1,,chemical pest control process,1.0,kg/ha,220,l/ha,,,,
R/CS/504,1999,19-May-1999,,BEW,Bravo 500,1,,chemical pest control process,2.0,l/ha,220,l/ha,,,,
R/CS/504,1999,21-May-1999,,OW,BASF 3C Chlormequat 720,1,,chemical pest control process,2.25,l/ha,220,l/ha,,,,
R/CS/504,1999,19-May-1999,,OW,Enhance,1,,chemical pest control process,50,ml/ha,220,l/ha,,,,
R/CS/504,1999,26-May-1999,,WW,Opus,1,,chemical pest control process,1.0,l/ha,220,l/ha,,,,
R/CS/504,1999,01-Jun-1999,,OW,Folicur,1,,chemical pest control process,0.75,l/ha,220,l/ha,,,,
R/CS/504,1999,10-Jun-1999,,BEW,Bavistin DF,1,,chemical pest control process,1.0,kg/ha,220,l/ha,,,,
R/CS/504,1999,10-Jun-1999,,BEW,Compass,1,,chemical pest control process,2.0,l/ha,220,l/ha,,,,
R/CS/504,1999,10-Jun-1999,,BEW,Sipcam UK Rover 500,1,,chemical pest control process,2.0,l/ha,220,l/ha,,,,
R/CS/504,1999,10-Jun-1999,,BEW,Aphox,1,,chemical pest control process,100,kg/ha,220,l/ha,,,,
R/CS/504,1999,10-Jun-1999,,BEW,Hallmark,1,,chemical pest control process,150,ml/ha,220,l/ha,,,,
R/CS/504,1999,18-Jun-1999,,LP,Aphox,1,,chemical pest control process,280,kg/ha,200,l/ha,,,,
R/CS/504,1999,18-Jun-1999,,LP,Enhance,1,,chemical pest control process,50,ml/ha,200,l/ha,,,,
R/CS/504,1999,25-Jun-1999,,BEW,Compass,1,,chemical pest control process,3.0,l/ha,220,l/ha,,,,
R/CS/504,1999,25-Jun-1999,,LP,Folicur,1,,chemical pest control process,0.75,l/ha,220,l/ha,,,,
R/CS/504,1999,07-Jul-1999,,RAW,Enhance,1,,chemical pest control process,400,ml/ha,400,l/ha,,,,
R/CS/504,1999,07-Jul-1999,,RAW,Reglone,1,,chemical pest control process,3.0,l/ha,400,l/ha,,,,
R/CS/504,1999,09-Jul-1999,,LNW,Reglone,1,,chemical pest control process,3.0,l/ha,400,l/ha,,,,
R/CS/504,1999,09-Jul-1999,,LNW,Enhance,1,,chemical pest control process,400,ml/ha,400,l/ha,,,,
R/CS/504,1999,17-Jul-1999,,RAW,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/504,1999,19-Jul-1989,,RAW,straw baled,1,,baling process,,,,,,,,
R/CS/504,1999,24-Ju1-1999,,LNW,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/504,1999,31-Jul-1999,,"WW,OW",combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/504,1999,12-Aug-1999,,BEW,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/504,1999,26-Aug-1999,,LP,combine harvested,1,,harvesting process,,,,,,,,combine harvester
R/CS/504,1999,27-Aug-1999,,,baled all remaining straw.,1,,baling process,,,,,,,,
R/CS/504,1999,,,,"w. wheat 1997, w. wheat 1998",1,,previous cropping,,,,,,,,
R/CS/504,1999,,,,W. peas failed therefore no yield. 107,1,,comment,,,,,,,,
R/CS/504,2000,01-Sep-1999,02-Sep-1999,WW,ploughed,1,,tillage process,,,,,,,,
R/CS/504,2000,14-Sep-1999,,WW,disced,1,,tillage process,,,,,,,,
R/CS/504,2000,14-Sep-1999,,WW,rolled,1,1,tillage process,,,,,,,,
R/CS/504,2000,15-Sep-1999,,WW,disced,1,,tillage process,,,,,,,,
R/CS/504,2000,17-Sep-1999,,WW,seed combination drilled,1,,seeding process,380,seeds/m2,,,,Hereward,Sibutol,Accord drill
R/CS/504,2000,22-Sep-1999,,WW,Genesis,1,,chemical pest control process,5.0,kg/ha,,,,,,
R/CS/504,2000,26-Oct-1999,,WW,Lexus 50 DF,1,,chemical pest control process,20,kg/ha,200,l/ha,,,,
R/CS/504,2000,26-Oct-1999,,WW,Stomp 400 SC,1,,chemical pest control process,2.5,l/ha,200,l/ha,,,,
R/CS/504,2000,26-Oct-1999,,WW,Cyperkill 10,1,,chemical pest control process,250,ml/ha,200,l/ha,,,,
R/CS/504,2000,09-Mar-2000,,WW,34.5% N,1,,agronomic fertilization process,145,kg/ha,,,,,,
R/CS/504,2000,06-Apr-2000,,WW,Topik,1,,chemical pest control process,125,ml/ha,200,l/ha,,,,
R/CS/504,2000,06-Apr-2000,,WW,Toil,1,,chemical pest control process,0.5,l/ha,200,l/ha,,,,
R/CS/504,2000,19-Apr-2000,,WW,34.5% N,1,,agronomic fertilization process,377,kg/ha,,,,,,
R/CS/504,2000,27-Apr-2000,,WW,Opus,1,,chemical pest control process,0.4,l/ha,200,l/ha,,,,
