Experiment,Year,Treatment,start date,end date,operation,,,,
R/CS/311,1999,"-,G,WR",12-Mar-1999,, 34.5% N at 145 kg.,7,,,
R/CS/311,1999,RAS,31-Mar-1999,,PDQ at 3.0 1 in 200 1.,,,,
R/CS/311,1999,RAS,31-Mar-1999,,Enhance at 100 ml in 200 1. ,,,,
R/CS/311,1999,"-,G,WR",01-Apr-1999,,Mon 37500 at 25 g in 200 1.,,,,
R/CS/311,1999,"-,G,WR",01-Apr-1999,,Genamin at 400 ml in 200 1.,%,,,
R/CS/311,1999,RAS,07-Apr-1999,,Flexitined,,,,
R/CS/311,1999,RAS,07-Apr-1999,,Combination drilled,,,,
R/CS/311,1999,RAS,07-Apr-1999,,"Canyon, tr. Rovral Liquid FS and Hydraguard, at 250 seed with the Nordsten drill. ",,,,
R/CS/311,1999,RAS,07-Apr-1999,,Rolled. 58,T,,,
R/CS/311,1999,RAS,07-Apr-1999,,Decoy at 15 kg.,T,,,
R/CS/311,1999,RAS,08-Apr-1999,,Clayton Metazachlor at 1.0 1 in 200 1.,T,,,
R/CS/311,1999,,15-Apr-1999,,34.58 N at 435 kg.,B,,,
R/CS/311,1999,RAS,19-May-1999,, Hallmark at 150 ml in 200 1.,T,,,
R/CS/311,1999,"-,G,WR",29-May-1999,,Folicur at 1.0 1 in 100 1.,,,,
R/CS/311,1999,"-,G,WR",29-May-1999,,Sipcam UK Rover 500 at 1.0 1 in 100 1.,,,,
R/CS/311,1999,RAS,09-Jun-1999,,Hallmark at 150 ml in 200 1.,T,,,
R/CS/311,1999,WR,25-Jun-1999,,Roundup at 4.0 1 in 200 1.,,,,
R/CS/311,1999,"-,G",25-Jun-1999,,Folicur at 0.25 1l in 100 1.,,,,
R/CS/311,1999,"-,G",25-Jun-1999,,Magnesium sulphate at 5.0 kg in 100 1.,T,,,
R/CS/311,1999,"-,G",29-Ju1-1999,,combine harvested.,T,,,
R/CS/311,1999,RA,25-Aug-1999,,"combine harvested, no yields. ",,,,
R/CS/311,1999,note:,,,Yields were only taken from the ‘rows’ in w. wheat; - and G. ,,,,
R/CS/311,2000,BA,20-Aug-1999,,wheat straw barley and removed.,,,,
R/CS/311,2000,CH,20-Aug-1999,,wheat straw cropped and incorporated.,T,,,
R/CS/311,2000,BU,23-Aug-1999,,wheat straw Woburn and ash incorporated with discs to 10 cm.,T,,,
R/CS/311,2000,,24-hug-1999,,Muriate of potatoes at 600 kg.,B,,,
R/CS/311,2000,BA,26-Aug-2000,,Rape straw barley and removed.,T,,,
R/CS/311,2000,CH,06-Sep-2000,,Rape straw chopped and incorporated.,,,,
R/CS/311,2000,BU,06-Sep-2000,,Rape straw Woburn and ash incorporated with discs to 10 cm.,,,,
R/CS/311,2000,,21-Sep-1999,,PDQ at 3.0 1 in 200 1.,,,,
R/CS/311,2000,,21-Sep-1999,,Enhance fallow Foam at 100 ml in 200 1.,B,,,
R/CS/311,2000,,11-0ct-1999,,disced twice.,B,,,
R/CS/311,2000,WW,14-Oct-1999,,Combination drilled,,,,
R/CS/311,2000,WW,14-Oct-1999,," Hereward, tr. Sibutol, at 380 seed with the Accord drill.",T,,,
R/CS/311,2000,WW,15-Oct-1999,, Rolled.,,,,
R/CS/311,2000,WW,15-Oct-1999,,Prebane at 3.0 1 in 200 1.,T,,,
R/CS/311,2000,WW,12-Nov-1999,,Lexus 50 DF at 20 g in 200 1.,,,,
R/CS/311,2000,WW,12-Nov-1999,,Stomp 400 SC at 2.5 1 in 200 1.,,,,
R/CS/311,2000,WW,12-Nov-1999,,Toppel 10 at 250 ml in 200 1.,T,,,
R/CS/311,2000,WW,07-Mar-2000,,34.59 N at 232 kg.,T,,,
R/CS/311,2000,RA,15-Mar-2000,,String CT et 4.0 1 in 200 1.,T,,,
R/CS/311,2000,RA,21-Mar-2000,,Combination drilled,,,,
R/CS/311,2000,RA,21-Mar-2000,,"Starlight, recleaned, at 180 seed, with the Accord drill. ",,,,
R/CS/311,2000,RA,21-Mar-2000,,Rolled. 60,T,,,
R/CS/311,2000,RA,21-Mar-2000,,Butisan S at 1.0 1 in 200 1.,T,,,
R/CS/311,2000,,08-Apr-2000,,Hallmark with Zeon Technology at 75 ml in 200 1.,B,,,
R/CS/311,2000,,23-Apr-2000,,Hallmark with Zeon Technology at 75 ml in 200 1.,B:,,,
R/CS/311,2000,,27-Apr-2000,, 34.5% N at 348 kg,,,,
R/CS/311,2000,WW,27-Apr-2000,,Opus at 0.5 1 in 200 1.,,,,
R/CS/311,2000,WH,27-Apr-2000,,BASF 3C Chlormequat 720 at 2.0 1 in 200 1.,02:00,,,
R/CS/311,2000,RA,29-Apr-2000,,Genesis at 7.0 kg.,T,,,
R/CS/311,2000,RA,10-May-2000,,34.5% N at 435 kg.,T,,,
R/CS/311,2000,WW,22-May-2000,,Opus at 0.75 1 in 100 1.,T,,,
R/CS/311,2000,,27-Jun-2000,,"hand rogued wild oats, started.",B,,,
R/CS/311,2000,,29-Jun-2000,,"hand rogued wild oats, completed.",B,,,
R/CS/311,2000,WW,17-Aug-2000,,combine harvested.,T,,,
R/CS/311,2000,RA,06-Sep-2000,,combine harvested. ,,,,
R/CS/311,2000,Previous crops,,,"W. wheat 1998, s. rape and w. wheat 1999. ",,,,
R/CS/311,2000,note,,,All plots were sampled in July to assess root and stem base diseases. ,,,,
